# Portfolio Consolidado - Actualizado
# Fecha: 2024-02-02

Moneda,Cantidad,Unidad
1MBABYDOGE,4189951981.28,BABYDOGE
ACH,285.6157,ACH
ADA,33.04,ADA
AI16Z,8140291.17,AI16Z
ALU,11699,ALU
BABYDOGE,5051916893,BABYDOGE
AMP,695.8083016,AMP
AVAX,0.46008777,AVAX
BIO,6.29461619,BIO
BNB,0.013629,BNB
BONK,8471.16,BONK
BTC,0.00074945,BTC
BTTC,555672.55,BTTC
CLV,124.4441371,CLV
DF,124.1103433,DF
DOGE,436.2181809,DOGE
DOT,2.25790476,DOT
ELON,9401441.55,ELON
ETH,0.00599956,ETH
EUR,0.0000416,EUR
FLOKI,179.06,FLOKI
GALA,117.8849052,GALA
GLMR,2.51189127,GLMR
HBAR,113.9658431,HBAR
HOLDCOIN,12613,HOLDCOIN
HQ,3665.09,HQ
HTX,112.5,HTX
ICE,1000,ICE
JASMY,232.3433421,JASMY
KAS,67.0000731,KAS
KCS,0.00043671,KCS
LDO,0.225790476,LDO
MOBILE,10000,MOBILE
MONKY,62.67,MONKY
NEIRO,4547.79,NEIRO
ONDO,30.4838,ONDO
PENGU,1187,PENGU
PEPE,1207045.97,PEPE
PHA,103.9910187,PHA
RSR,4.99586061,RSR
RUNE,19.9385,RUNE
SLC,10000,SLC
SOL,0.04004547,SOL
SPELL,3024.20,SPELL
SPX,7.05,SPX
SWFTC,200,SWFTC
TEL,14923,TEL
TON,11699,TON
TOSHI,11699,TOSHI
TRX,83.91461403,TRX
USDC,58.24159878,USDC
USDT,0.87047706,USDT
VET,315.5911201,VET
VTHO,6419.10,VTHO
VIRTUAL,8.18,VIRTUAL
VINE,1187,VINE
WIF,10,WIF
WIN,8528.42,WIN
XCN,7478.16,XCN
XDC,38.3163,XDC
XLM,32.01223871,XLM
XPR,1000,XPR
XRP,162.8723621,XRP
XYO,1100,XYO
