rank,name,symbol,price,1h_change,24h_change,7d_change,market_cap,volume_24h
167,ZilliqaZIL,ZilliqaZIL,0.019,0.0103,0.0341,0.0215,369688826.0,17932060.0
168,JUSTJST,JUSTJST,0.03738,0.0053,0.0302,0.0318,370015583.0,42329012.0
169,MX,TokenMX,3.85,0.0055000000000000005,0.0092,0.0802,365230577.0,40312479.0
170,HoloHOT,HoloHOT,0.002081,0.0258,0.0603,0.0538,364036221.0,14923901.0
171,0x,ProtocolZRX,0.426,0.015600000000000001,0.0329,0.0373,361412788.0,59929010.0
172,ether.fiETHFI,ether.fiETHFI,1.63,0.0183,0.0567,0.0594,357393924.0,49406112.0
173,OriginTrailTRAC,OriginTrailTRAC,0.6987,0.008199999999999999,0.0977,0.0919,349365598.0,2758817.0
174,Echelon,PrimePRIME,9.72,0.013300000000000001,0.046,0.1937,347799076.0,5827623.0
175,Baby Doge,CoinBabyDoge,0.082114,0.018600000000000002,0.0602,0.0105,346107233.0,35399415.0
176,Basic Attention,TokenBAT,0.2249,0.011000000000000001,0.0269,0.0083,336404448.0,63367785.0
177,AethirATH,AethirATH,0.05448,0.015300000000000001,0.044000000000000004,0.0407,336271335.0,21131345.0
178,SafePalSFP,SafePalSFP,0.6871,0.0014000000000000002,0.0036,0.0068000000000000005,334937635.0,9468904.0
179,GolemGLM,GolemGLM,0.3299,0.0023,0.032799999999999996,0.0216,329891230.0,13261548.0
179,22.69%49.05%,22.69%49.05%,244.0,,,,17.98,
180,SushiSwapSUSHI,SushiSwapSUSHI,1.25,0.024399999999999998,0.055,0.0571,328459484.0,41327798.0
181,SPACE,IDID,0.3634,0.013600000000000001,0.044800000000000006,0.0528,319645422.0,13186893.0
182,Convex,FinanceCVX,3.26,0.0225,0.0675,0.1176,318914264.0,15725851.0
183,WEMIXWEMIX,WEMIXWEMIX,0.7515,0.0011,0.008199999999999999,0.0181,312855834.0,1899649.0
184,CeloCELO,CeloCELO,0.5528,0.0087,0.0361,0.0394,309307631.0,21421205.0
185,WOOWOO,WOOWOO,0.1657,0.0189,0.042300000000000004,0.0524,308731709.0,13438518.0
186,GasGAS,GasGAS,4.73,0.0036,0.0189,0.0229,307187061.0,10239751.0
187,IoTeXIOTX,IoTeXIOTX,0.03239,0.027999999999999997,0.0473,0.037599999999999995,305827865.0,12838195.0
188,QtumQTUM,QtumQTUM,2.85,0.0088,0.0379,0.0322,300553321.0,40858801.0
189,Bio,ProtocolBIO,0.2276,0.0259,0.0712,0.0892,295134138.0,48035630.0
190,AnimecoinANIME,AnimecoinANIME,0.05266,0.0371,0.0978,0.7117,291679555.0,291901350.0
191,HorizenZEN,HorizenZEN,18.39,0.0087,0.0858,0.1814,291164240.0,21199567.0
192,SKALESKL,SKALESKL,0.05045,0.011899999999999999,0.1463,0.2238,290436069.0,333517330.0
193,SiacoinSC,SiacoinSC,0.005236,0.0048,0.0253,0.0159,290319293.0,25462876.0
194,AnkrANKR,AnkrANKR,0.02891,0.0095,0.0462,0.0644,289107643.0,16969003.0
195,HarmonyONE,HarmonyONE,0.01997,0.0172,0.0649,0.07769999999999999,287191323.0,9730992.0
196,OsmosisOSMO,OsmosisOSMO,0.4012,0.0209,0.039599999999999996,0.0097,283800337.0,7801658.0
197,ZetaChainZETA,ZetaChainZETA,0.4467,0.0195,0.0512,0.08960000000000001,283371852.0,15098183.0
198,Moca,NetworkMOCA,0.1719,0.0222,0.0462,0.042199999999999994,280812694.0,36179307.0
199,MemecoinMEME,MemecoinMEME,0.007629,0.028900000000000002,0.060899999999999996,0.0906,280709328.0,33112737.0
200,Enjin,CoinENJ,0.1552,0.0179,0.0583,0.0746,278930880.0,25252526.0
201,FasttokenFTN,FasttokenFTN,3.9,0.0002,0.0013,0.0183,1702048607.0,60012051.0
202,Solana,SwapSOS,1.41,0.0172,0.07400000000000001,0.01,1405906180.0,3580782.0
203,Usual,USDUSD0,0.9987,0.0001,0.0,0.0003,1228810099.0,20255549.0
204,ZeebuZBU,ZeebuZBU,4.23,0.0022,0.0069,0.0232,1094298946.0,3626832.0
205,FellazFLZ,FellazFLZ,2.06,0.0123,0.0033,0.0339,973488276.0,8879230.0
206,ShibaBitcoinSHIBTC,ShibaBitcoinSHIBTC,9.7,0.019299999999999998,0.0001,0.02,838380400.0,3008035.0
207,24.00%73.07%,24.00%73.07%,249.0,,,,0.8,
207,Meta Games,CoinMGC,0.705,0.0019,0.0123,0.0832,775520213.0,354361.0
208,FraxFRAX,FraxFRAX,0.9971,0.0001,0.0002,0.0037,647572260.0,2194910.0
208,62.20%65.19%,62.20%65.19%,270.0,,,,21.81,
209,TelcoinTEL,TelcoinTEL,0.006537,0.0029,0.023,0.0199,600530711.0,3145332.0
210,DeepBook,ProtocolDEEP,0.2157,0.0012,0.1843,0.19760000000000003,599308748.0,48768844.0
211,ToshiTOSHI,ToshiTOSHI,0.001421,0.018000000000000002,0.35619999999999996,2.7119,579675960.0,408086726.0
212,NewtonNEW,NewtonNEW,0.01324,0.0151,0.2645,3.2505,559300471.0,16123662.0
213,BeldexBDX,BeldexBDX,0.07734,0.0042,0.0073,0.012199999999999999,534654000.0,5933470.0
214,UltimaULTIMA,UltimaULTIMA,13999.65,0.003,0.0011,0.475,523712793.0,6827020.0
215,insuranceINSURANCE,insuranceINSURANCE,27.44,0.0017000000000000001,0.004,0.09849999999999999,513047576.0,51244.0
216,SnekSNEK,SnekSNEK,0.006423,0.0126,0.0453,0.1975,477795824.0,2894703.0
217,ChintaiCHEX,ChintaiCHEX,0.4738,0.024700000000000003,0.0705,0.0443,473332086.0,2420663.0
218,CheeleeCHEEL,CheeleeCHEEL,8.12,0.0021,0.014199999999999999,0.008,461066883.0,3857672.0
219,Ondo US Dollar,YieldUSDY,1.07,0.0,0.0005,0.0007000000000000001,378677392.0,803085.0
220,Dog,(Bitcoin)DOG,0.003633,0.0029,0.0821,0.0861,363298749.0,18136984.0
221,GRIFFAINGRIFFAIN,GRIFFAINGRIFFAIN,0.3513,0.022099999999999998,0.19640000000000002,0.20670000000000002,351234942.0,60987481.0
222,12.41%3.39%,12.41%3.39%,18.0,,,,6.13,
222,MimbleWimbleCoinMWC,MimbleWimbleCoinMWC,31.77,0.0040999999999999995,0.050499999999999996,0.12359999999999999,348583141.0,26475.0
223,Akuma,Inu$AKUMA,0.0005148,0.024399999999999998,0.0557,0.3455,343199682.0,6732434.0
224,FreysaFAI,FreysaFAI,0.04143,0.0412,0.1142,0.2345,339288774.0,1084309.0
225,SwissBorgBORG,SwissBorgBORG,0.3327,0.01,0.018500000000000003,0.0311,327159046.0,2172795.0
226,Destra,NetworkDSYNC,0.3142,0.0346,0.0113,0.0674,304509298.0,6639847.0
227,TribeTRIBE,TribeTRIBE,0.5454,0.0033,0.1235,0.0527,297173282.0,85557.0
228,UXLINKUXLINK,UXLINKUXLINK,0.8711,0.0327,0.0202,0.057999999999999996,294618143.0,195313978.0
229,Vine,CoinVINE,0.2905,0.0929,0.2408,0.5619,290454383.0,1051278031.0
230,VanaVANA,VanaVANA,9.17,0.027200000000000002,0.08070000000000001,0.0040999999999999995,275888226.0,25083429.0
231,EthereumPoWETHW,EthereumPoWETHW,2.52,0.0095,0.0449,0.0617,271268097.0,5821332.0
232,SATS,(Ordinals)SATS,0.061291,0.0225,0.0956,0.2493,271063112.0,35919658.0
233,Peanut the,SquirrelPNUT,0.2712,0.014499999999999999,0.1354,0.3153,271126692.0,125305062.0
234,RavencoinRVN,RavencoinRVN,0.01834,0.009899999999999999,0.0178,0.018799999999999997,270754616.0,6590586.0
235,aelfELF,aelfELF,0.3643,0.0127,0.0358,0.0236,269115818.0,12360103.0
236,DriftDRIFT,DriftDRIFT,0.9746,0.018500000000000003,0.0098,0.0499,268154153.0,52259469.0
237,ArkhamARKM,ArkhamARKM,1.19,0.021,0.046900000000000004,0.0024,267494539.0,54271164.0
238,Elixir,deUSDDEUSD,0.9999,0.0001,0.0002,0.0008,263166288.0,5801453.0
239,AI Rig,ComplexARC,0.2597,0.0418,0.28800000000000003,0.312,259697737.0,49043271.0
240,Metars,GenesisMRS,3.08,0.0027,0.0189,0.0197,259339919.0,52414.0
241,GMTGMT,GMTGMT,0.09801,0.0227,0.0379,0.0702,258293250.0,77504975.0
242,ThresholdT,ThresholdT,0.02535,0.0066,0.0387,0.0139,255356833.0,11621846.0
243,QubicQUBIC,QubicQUBIC,0.052252,0.004,0.042699999999999995,0.0421,254538464.0,4555752.0
244,ChiaXCH,ChiaXCH,17.98,0.025699999999999997,0.049800000000000004,0.042199999999999994,250985709.0,6191528.0
245,Magic,EdenME,1.9,0.024399999999999998,0.052300000000000006,0.0583,246693532.0,24074555.0
246,BOOK OF,MEMEBOME,0.003576,0.0291,0.0834,0.1946,246547097.0,61061160.0
