Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,"Direcciones ""In the money"" %","Direcciones ""At the money"" %","Direcciones ""Out of the money"" %",Direcciones de beneficios %,"Direcciones ""break-even"" (punto de equilibrio) %",Direcciones de pérdidas %
THETA,Theta Network,63,1577900000,USD,,,,,,
IMX,Immutable,64,1566107069.5382922,USD,17.03155795122646,3.3042053522665213,79.66423669650702,20.818987011136702,2.8708474817752236,76.31016550708807
MOVE,Movement,65,1539597000,USD,,,,,,
XDC,XDC Network,66,1485377488.7242796,USD,,,,,,
GRT,The Graph,67,1428651284.4013383,USD,26.428186802428037,6.77685040140983,66.79496279616212,29.480981985510084,6.032161738789896,64.48685627570002
WLD,Worldcoin,68,1421073582.599253,USD,,,,,,
S,Sonic (prev. FTM),69,1360080000,USD,,,,,,
JASMY,JasmyCoin,70,1327647686.3316803,USD,,,,,,
FLR,FLARE,71,1308942827.9230917,USD,,,,,,
QNT,Quant,72,1160673031.32,USD,19.939376975539155,9.734501191297046,70.3261218331638,22.643518866185598,8.76030011127875,68.59618102253565
SEI,Sei,73,1142025083.1043198,USD,,,,,,
SAND,The Sandbox,74,1065562115.6104527,USD,8.650684284101029,5.185734255993394,86.16358145990559,12.184784068692075,4.7215851711083365,83.09363076019959
ENS,Ethereum Name Service,75,1053555682.2293496,USD,50.54293166050151,1.48645653989738,47.97061179960111,51.6032252015751,1.32792390433493,47.06885089408997
FLOKI,FLOKI,76,1032934678.7362659,USD,53.72715729034395,0.3202120024291945,45.95263070722685,53.9524098713631,0.3422955888036217,45.70529453983327
VIRTUAL,Virtuals Protocol,77,1024031773.2680788,USD,,,,,,
EOS,EOS,78,1000568445.5330895,USD,,,,,,
XTZ,Tezos,79,969555997.9476779,USD,,,,,,
XCN,Onyxcoin,80,937410492.762075,USD,,,,,,
NEXO,Nexo,81,916428644.2687753,USD,63.37987882570143,2.682216501547183,33.93790467275139,61.41014639727488,2.462490573887719,36.1273630288374
GALA,Gala,82,905099405.532826,USD,8.47562452264302,4.984258862539819,86.54011661481717,12.868240159460518,4.575920716827183,82.5558391237123
BTT,BitTorrent-New,83,913842024.7541534,USD,,,,,,
KAIA,Kaia,84,916486843.912225,USD,,,,,,
JTO,Jito,85,903348691.7694399,USD,,,,,,
IOTA,IOTA,86,892986718.4593201,USD,,,,,,
WIF,dogwifhat,87,873446999.8560996,USD,,,,,,
FARTCOIN,Fartcoin,88,851088515.69904,USD,,,,,,
MKR,Maker,89,881478916.8848832,USD,44.284531284395015,1.3574565771129676,54.358012138492015,44.1776119246533,1.2264279499785113,54.595960125368194
PENGU,Pudgy Penguins,90,845220885.8266778,USD,,,,,,
SPX,SPX6900,91,843293540.985406,USD,,,,,,
BSV,Bitcoin SV,92,860752459.875,USD,,,,,,
FLOW,Flow,93,838358198.4266297,USD,,,,,,
NEO,Neo,94,829818807.884,USD,,,,,,
PYTH,Pyth Network,95,823778536.7327727,USD,,,,,,
AR,Arweave,96,796692674.91,USD,,,,,,
AERO,Aerodrome Finance,97,769614269.3470683,USD,,,,,,
USDD,USDD,98,741232417.664195,USD,42.792792792792795,56.30630630630631,0.9009009009009009,45.4954954954955,47.2972972972973,7.207207207207207
CRV,Curve DAO Token,99,753158101.80193,USD,14.308274266407139,7.703796197681394,77.98792953591148,19.41312571155753,6.521233488804828,74.06564079963765
MELANIA,Official Melania Meme,100,728304914.8557585,USD,,,,,,
RON,Ronin,101,723818802.2095112,USD,,,,,,
DEEP,DeepBook Protocol,102,706885360,USD,,,,,,
AXS,Axie Infinity,103,706386334.3096929,USD,0.1266865142205612,1.9015645784506239,97.97174890732882,5.766770127319947,1.7698106036612402,92.46341926901881
STRK,Starknet,104,713350180.0540721,USD,,,,,,
AIOZ,AIOZ Network,105,681701991.9061012,USD,,,,,,
XAUT,Tether Gold,106,692382375.92,USD,96.37445887445888,3.6255411255411256,0,94.77813852813853,2.6785714285714284,2.5432900432900434
MANA,Decentraland,107,688257547.0423001,USD,15.52118847031642,2.766194246428672,81.7126172832549,17.520639035248372,2.57847059817982,79.90089036657182
EGLD,MultiversX,108,687341915.2906938,USD,,,,,,
HNT,Helium,109,656555118.7516797,USD,,,,,,
MATIC,Polygon,110,661480204.28952,USD,1.7765062311851623,0.5937215869843891,97.62977218183046,6.75020963383956,0.5127595523956088,92.73703081376483
FTT,FTX Token,111,637596048.2522831,USD,22.31545867879112,2.9386199518587857,74.7459213693501,25.010029419630918,2.49398234822145,72.49598823214764
BRETT,Brett (Based),112,633214554.458525,USD,,,,,,
BEAM,Beam,113,631136747.179512,USD,,,,,,
CFX,Conflux,114,594163698.8137509,USD,,,,,,
CHZ,Chiliz,115,589790474.82756,USD,6.98197931353151,2.4477802921697096,90.57024039429878,9.497292750257692,2.2937573309005606,88.20894991884175
ZEC,Zcash,116,581661917.68125,USD,,,,,,
W,Wormhole,117,581699637.3934,USD,,,,,,
PAXG,PAX Gold,118,572867765.16256,USD,98.94170239941612,0.9244898579813277,0.1338077426025606,94.32533527962778,0.7268193291366359,4.947845391235592
APE,ApeCoin,119,575831094.58105,USD,1.5214234498050772,1.508770027054223,96.9698065231407,7.481788109397877,1.2749829781336803,91.24322891246844
AKT,Akash Network,120,577661729.8586106,USD,,,,,,
KAVA,Kava,121,562282670.4191201,USD,,,,,,
XEC,eCash,122,550465676.4654254,USD,,,,,,
RSR,Reserve Rights,123,534506314.08537453,USD,,,,,,
MORPHO,Morpho,124,530550740.3679713,USD,,,,,,
CORE,Core,125,528334794.8077465,USD,,,,,,
RUNE,THORChain,126,511645992.2536,USD,,,,,,
COMP,Compound,127,514751698.68135697,USD,11.09662935940667,3.439287188597244,85.46408345199609,16.784092543031676,3.1851092547669957,80.03079820220132
PENDLE,Pendle,128,523508974.25325274,USD,9.5308272661285,5.501176781118712,84.96799595275279,14.457910828585883,5.037063106262235,80.50502606515188
AI16Z,ai16z,129,497716645.67801684,USD,,,,,,
AMP,Amp,130,500200727.70094186,USD,,,,,,
EIGEN,EigenLayer,131,529804357.546324,USD,,,,,,
TUSD,TrueUSD,132,494108817.32428,USD,26.103426022054492,48.8453660315946,25.051207946350907,31.993041331126015,35.08235360139174,32.924605067482254
GIGA,Gigachad,133,496246464.577248,USD,,,,,,
GNO,Gnosis,134,484314054.7553838,USD,51.30992787441663,4.751803139584218,43.93826898599915,50.4507848960543,4.274501484938481,45.274713619007215
PYUSD,PayPal USD,135,477321800.89383274,USD,33.33956269856102,64.33376938889927,2.3266679125397123,35.128947860213046,58.78340497103345,6.087647168753504
ZK,zkSync,136,453090750,USD,,,,,,
MINA,Mina,137,460038226.8975029,USD,,,,,,
VTHO,VeThor Token,138,447501084.6978672,USD,,,,,,
CAKE,PancakeSwap,139,449410032.20319206,USD,,,,,,
NFT,APENFT,140,443985560.09999996,USD,,,,,,
SNX,Synthetix,141,432615746.9325641,USD,0.5717275139195097,0.5219037654297921,98.90636872065069,7.735136953028661,0.49823748489717623,91.76662556207417
TOSHI,Toshi,142,422772036.879,USD,,,,,,
SUPER,SuperVerse,143,401458635.87746876,USD,,,,,,
AXL,Axelar,144,410293256.6150453,USD,,,,,,
MOG,MOG Coin,145,422824498.44133604,USD,,,,,,
1INCH,1inch Network,146,389174769.01268065,USD,3.1108597285067874,3.599430488375722,93.28970978311749,9.18337494148853,3.1703463878920273,87.64627867061944
LUNC,Terra Classic,147,372828902.7467987,USD,,,,,,
ACH,Alchemy Pay,148,359403888.0929132,USD,,,,,,
CTC,Creditcoin,149,368019939.65788996,USD,,,,,,
GRASS,GRASS,150,357418520.3514,USD,,,,,,
TFUEL,Theta Fuel,151,363074264.54887503,USD,,,,,,
TWT,Trust Wallet Token,152,363131220.345,USD,,,,,,
ROSE,Oasis,153,346848914.6371,USD,,,,,,
KSM,Kusama,154,345713525.73310614,USD,,,,,,
SAFE,Safe,155,346799147.78106,USD,,,,,,
LPT,Livepeer,156,345254841.88106674,USD,98.24798262232606,0.11600949268226735,1.6360078849916602,98.30479986992322,0.10687488695925419,1.5883252431175314
MX,MX TOKEN,157,334058842.4454,USD,,,,,,
JST,JUST,158,335382300,USD,,,,,,
ZRO,LayerZero,159,332750000,USD,,,,,,
QTUM,Qtum,160,329744421.1758,USD,,,,,,
AIXBT,aixbt by Virtuals,161,319097696.1620252,USD,,,,,,
BLUR,Blur,162,327216305.8336449,USD,1.2607662028917728,0.7638645309637944,97.97536926614443,11.769749405666628,0.7190459487898984,87.51120464554347
DASH,Dash,163,326606489.5112272,USD,,,,,,
CKB,Nervos Network,164,323470264.5321092,USD,,,,,,
NOT,Notcoin,165,319952586.97332215,USD,,,,,,
SFP,SafePal,166,320282625,USD,,,,,,
ASTR,Astar,167,314657224.986852,USD,,,,,,
MEW,cat in a dogs world,168,311813333.3302152,USD,,,,,,
HOT,Holo,169,307942986.1947081,USD,,,,,,
PRIME,Echelon Prime,170,310287987.29760003,USD,,,,,,
TURBO,Turbo,171,300481200,USD,20.64949186566852,5.89268537493204,73.45782275939943,26.903935427209234,5.1085274559826015,67.98753711680816
ZIL,Zilliqa,172,303576197.76018286,USD,,,,,,
ORDI,ORDI,173,289758000,USD,,,,,,
ZRX,0x Protocol,174,290974569.17690206,USD,35.35884984095525,7.043410182148664,57.59773997689608,37.14584485335582,4.692504366202581,58.1616507804416
BAT,Basic Attention Token,175,287315970.3705956,USD,13.917374468414861,7.087488757752161,78.99513677383297,24.228306277577264,4.554900915582754,71.21679280683998
WEMIX,WEMIX,176,283658693.4581277,USD,,,,,,
TRAC,OriginTrail,177,284277175.7361931,USD,52.04859456884231,3.7017627441638874,44.24964268699381,53.63506431634112,2.929966650786089,43.43496903287279
BABYDOGE,Baby Doge Coin,178,277917927.65399176,USD,,,,,,
GLM,Golem,179,272700000,USD,43.49887956641826,6.665276981604045,49.835843451977695,45.645942988170304,5.972171556620981,48.38188545520871
MOCA,Moca Network,180,269914539.37103605,USD,,,,,,
SATS,SATS (Ordinals),181,268065000.00000003,USD,,,,,,
GAS,Gas,182,263998848.522,USD,,,,,,
ATH,Aethir,183,264699699.517084,USD,,,,,,
ETHFI,ether.fi,184,292701755.55840003,USD,,,,,,
POPCAT,Popcat (SOL),185,251127928.28559598,USD,,,,,,
CELO,Celo,186,256559904.58187997,USD,,,,,,
SKL,SKALE,187,261403540.184118,USD,20.395512454839324,7.415858528237306,72.18862901692337,24.590226278760223,6.617227609811752,68.79254611142804
SUSHI,SushiSwap,188,255287688.7280934,USD,8.980829200072964,3.2365383111975885,87.78263248872945,14.097964785490301,2.893427030219852,83.00860818428984
SC,Siacoin,189,252393365.27159458,USD,,,,,,
ID,SPACE ID,190,252092314.01677272,USD,,,,,,
XYO,XYO,191,247230936.40974,USD,60.44740340401421,3.5543835944820974,35.99821300150369,60.54002222851788,3.2264039924161527,36.23357377906596
MASK,Mask Network,192,249480000,USD,5.957747723857509,5.179881552196588,88.8623707239459,11.031556616282154,4.25174577919208,84.71669760452578
ANKR,Ankr,193,246070000,USD,18.79671585143875,5.7337051237364935,75.46957902482475,21.21141706363038,5.3328685953293835,73.45571434104023
CVX,Convex Finance,194,245736353.2098293,USD,4.400999430149477,5.010301144084513,90.58869942576601,15.50431771358436,3.3577346249945204,81.13794766142112
T,Threshold,195,241765103.4620191,USD,,,,,,
WOO,WOO,196,239875989.40571117,USD,1.8347584800951358,2.9673254431168243,95.19791607678803,9.621156350869246,2.5596013364290164,87.81924231270175
ZETA,ZetaChain,197,236970464.17815,USD,,,,,,
IO,io.net,198,236063030.9314,USD,,,,,,
RVN,Ravencoin,199,234582699.36687496,USD,,,,,,
STETH,Lido Staked ETH,200,27226455029.214928,USD,64.32030612885013,4.194216172134746,31.485477699015117,65.24684775108211,3.983438931058277,30.76971331785961
WBTC,Wrapped Bitcoin,201,13152289319.04256,USD,86.14268440145104,7.089573062970886,6.767742535578086,82.92530927355595,5.568784299134964,11.505906427309087
WBETH,Wrapped Beacon ETH,202,6164306161.502934,USD,,,,,,
WEETH,Wrapped eETH,203,5945607788.880222,USD,,,,,,
BIT,BitDAO,204,2189542301.0059624,USD,,,,,,
FTN,Fasttoken,205,1708443711.0593,USD,,,,,,
MSOL,Marinade Staked SOL,206,1138290040.8,USD,,,,,,
ZBU,ZEEBU,207,1015968502.874772,USD,,,,,,
TEL,Telcoin,208,662273060.1765205,USD,84.97750281214849,1.2935883014623173,13.728908886389203,82.22159730033745,1.3104611923509561,16.467941507311586
FRAX,Frax,209,647192892.8042616,USD,5.698552951722371,43.1809450633884,51.12050198488923,18.196952234601103,29.517223716224866,52.28582404917403
KLAY,Klaytn,210,587173895.12104,USD,,,,,,
BDX,Beldex,211,534891956.11464554,USD,,,,,,
CHEEL,Cheelee,212,452613291.2500286,USD,,,,,,
SNEK,Snek,213,411683332.7425287,USD,,,,,,
DOG,Dog (Bitcoin),214,363010000,USD,,,,,,
TRIBE,Tribe,215,311054773.1408582,USD,35.636109601800825,13.040440891096793,51.32344950710238,35.58177443142125,11.98478615229372,52.43343941628502
ARC,AI Rig Complex,216,301449493.26255,USD,,,,,,
BORG,Swissborg,217,302522087.0553436,USD,,,,,,
OCEAN,Ocean Protocol,218,239028970.66613376,USD,17.087823275862068,9.210668103448276,73.70150862068967,23.81196120689655,8.165409482758621,68.02262931034483
ONE,Harmony,219,234599996.58658105,USD,,,,,,
ACT,Act I : The AI Prophecy,220,229949663.7878171,USD,,,,,,
ELF,aelf,221,227641419.7263798,USD,56.761658571160545,1.3196022431153454,41.918739185724114,56.874231274364696,0.9547832975463321,42.170985428088976
OSMO,Osmosis,222,229066398.57384086,USD,,,,,,
ENJ,Enjin Coin,223,228105572.65270084,USD,6.433328232797334,3.703654423162643,89.86301734404002,12.161451923012953,3.3630273233495886,84.47552075363745
UXLINK,UXLINK,224,227395534,USD,,,,,,
ZKJ,Polyhedra Network,225,227548565.35265404,USD,,,,,,
MPLX,Metaplex,226,224045690.86878002,USD,,,,,,
IOTX,IoTeX,227,220352112.421323,USD,37.31244774937299,1.6500198002376028,61.037532450389406,35.85163021956264,1.6852202226426718,62.463149557794694
GRIFFAIN,GRIFFAIN,228,217664121.0128,USD,,,,,,
CPOOL,Clearpool,229,221936118.82995072,USD,,,,,,
QUBIC,QUBIC,230,221678439.73094928,USD,,,,,,
ZEN,Horizen,231,221320210.05,USD,,,,,,
ETHW,EthereumPoW,232,218355036.87591824,USD,,,,,,
DRIFT,Drift,233,213239299.9640989,USD,,,,,,
PEAQ,peaq,234,211829355.71579245,USD,,,,,,
YFI,yearn.finance,235,216422287.26002064,USD,6.655464939961477,3.53674029752879,89.80779476250973,12.0077046022704,3.1679029547969346,84.82439244293266
BIO,Bio Protocol,236,213133163.93241596,USD,,,,,,
VANA,Vana,237,210214958.39999998,USD,,,,,,
MEME,Memecoin,238,202204413.81524968,USD,,,,,,
PNUT,Peanut the Squirrel,239,195651380.5613495,USD,,,,,,
GOMINING,Gomining,240,197072450.24147326,USD,,,,,,
ARKM,Arkham,241,198018219,USD,,,,,,
GMT,GMT,242,195274818.40605265,USD,,,,,,
AVAIL,Avail,243,196228961.78020498,USD,,,,,,
XCH,Chia,244,191231830.80900002,USD,,,,,,
G,Gravity,245,192785973.66,USD,,,,,,
PAAL,PAAL AI,246,203113709.52289382,USD,,,,,,
SPELL,Spell Token,247,181800958.66907743,USD,32.64025224582069,13.317270509845915,54.0424772443334,35.43637337140817,11.69016598250937,52.87346064608246
XEM,NEM,248,187784999.979135,USD,,,,,,
LRC,Loopring,249,186612735.1450019,USD,31.617254597505944,0.7660488136251152,67.61669658886895,35.862972487748074,0.6459556504439807,63.491071861807946
KDA,Kadena,250,186691170.32901585,USD,,,,,,
GMX,GMX,251,187999705.42364964,USD,0.1486908446991714,0.14970464591302937,99.70160450938779,2.0891063680233577,0.09090417550926615,97.81998945646737
LUNA,Terra,252,186257317.70544907,USD,,,,,,
SUN,Sun (New),253,185715754.7145727,USD,,,,,,
ANIME,Animecoin,254,186274351.790592,USD,,,,,,
TAI,TARS AI,255,181041682.93929997,USD,,,,,,
DCR,Decred,256,183428509.67285874,USD,,,,,,
USUAL,Usual,257,181543842.60252577,USD,,,,,,
ONT,Ontology,258,179381636.81478,USD,0.9830230784441116,0.7718708511059009,98.24510607044998,2.1517753735770175,0.6532301347419565,97.19499449168103
DAG,Constellation,259,179380758.14778602,USD,72.56532066508314,4.602137767220903,22.832541567695962,71.28859857482185,4.483372921615201,24.228028503562946
ETHDYDX,dYdX (ethDYDX),260,178703755.2425366,USD,0.017134697762970014,1.0223702998572108,98.96049500237982,6.9509757258448355,0.9443122322703476,92.10471204188482
BICO,Biconomy,261,175870018.24897346,USD,,,,,,
CSPR,Casper,262,177920499.472709,USD,,,,,,
MANTA,Manta Network,263,176700875.01378712,USD,,,,,,
POLYX,Polymesh,264,175496903.96792734,USD,,,,,,
NEIRO,First Neiro On Ethereum,265,171710683.4908496,USD,,,,,,
HONEY,Hivemapper,266,168861591.37201282,USD,,,,,,
HIVE,Hive,267,173219178.1195344,USD,,,,,,
ME,Magic Eden,268,168941124.90065974,USD,,,,,,
FXS,Frax Share,269,169035700.02923757,USD,2.016079158936302,3.308596165739023,94.67532467532467,13.271490414347555,2.411873840445269,84.31663574520717
AEVO,Aevo,270,169230602.85419947,USD,,,,,,
METIS,Metis,271,170481694.405,USD,17.611703334089363,3.254706282603765,79.13359038330687,23.480381038784305,2.4722159219777726,74.04740303923792
LCX,LCX,272,173220776.5995,USD,46.76719010230788,3.0186771353794906,50.21413276231264,47.31441827266239,2.6350226029026884,50.050559124434926
FLUX,Flux,273,168164179.11944228,USD,,,,,,
BOME,BOOK OF MEME,274,165756614.47511482,USD,,,,,,
BAND,Band Protocol,275,162469514.90359196,USD,0.6202963311382879,1.1964957666980245,98.18320790216369,10.007055503292568,1.143579492003763,88.84936500470367
FIDA,Solana Name Service,276,161786175.72625375,USD,,,,,,
DGB,DigiByte,277,159274098.93101612,USD,,,,,,
ORBR,Orbler,278,156004280.6675,USD,,,,,,
SSV,ssv.network,279,161171188.2522982,USD,,,,,,
SOLO,Sologenic,280,160131059.72562,USD,,,,,,
COW,CoW Protocol,281,155135217.51022848,USD,47.816349384098544,6.140350877192982,46.04329973870847,49.66405375139978,5.039193729003359,45.296752519596865
ACX,Across Protocol,282,159277123.96094057,USD,,,,,,
UPC,UPCX,283,155560726.61894,USD,,,,,,
WAVES,Waves,284,155682090.98180002,USD,,,,,,
ANON,Hey Anon,285,159854266.55153114,USD,,,,,,
DYM,Dymension,286,154410155.46516,USD,,,,,,
CHEEMS,Cheems (cheems.pet),287,154289664.11667502,USD,,,,,,
UMA,UMA,288,153715296.66966644,USD,7.169650064099519,1.785290347087033,91.04505958881344,13.318455913774274,1.4671668011965244,85.2143772850292
COTI,COTI,289,152210052.18601057,USD,,,,,,
SXP,Solar,290,152851447.6889369,USD,51.04491644942092,1.3590324372836446,47.59605111329544,55.26304542929184,1.1752639001666738,43.56169067054147
VINE,Vine Coin,291,146179138.12272,USD,,,,,,
ZIG,ZIGChain,292,148863445.68031558,USD,,,,,,
GOAT,Goatseus Maximus,293,145999407.66838253,USD,,,,,,
VELO,Velo,294,144602045.49177,USD,50.342705273464816,2.5528045880542733,47.10449013848091,54.59504825849769,1.80444817456987,43.60050356693244
WAXP,WAX,295,144773462.52677977,USD,,,,,,
ALT,AltLayer,296,144494923.11386955,USD,,,,,,
SKI,Ski Mask Dog,297,142037840.06732,USD,,,,,,
STORJ,Storj,298,142724069.3905091,USD,16.664780152498945,4.971136333233862,78.3640835142672,21.551537852049268,4.467951554316173,73.98051059363456
ICX,ICON,299,141815668.84917548,USD,,,,,,
EDU,Open Campus,300,142473268.03665,USD,,,,,,
CGPT,ChainGPT,301,138779590.61308,USD,,,,,,
RPL,Rocket Pool,302,140686898.65620083,USD,64.09909300121835,0.2842832002165967,35.616623798565044,68.99959388114254,0.24367131447136864,30.75673480438608
ALEO,Aleo,303,139818872.58130762,USD,,,,,,
KUB,Bitkub Coin,304,141722472.2472,USD,,,,,,
SWFTC,SwftCoin,305,145657844.963631,USD,92.56031495003197,6.938322285406643,0.5013627645613917,88.83542514889464,6.312460042397119,4.852114808708233
VVS,VVS Finance,306,137576549.25225237,USD,,,,,,
AUDIO,Audius,307,136809431.241747,USD,0.457986975168105,0.325620797373855,99.21639222745804,5.707629586488061,0.30444220892677504,93.98792820458517
XNO,Nano,308,136872650.67839998,USD,,,,,,
ELON,Dogelon Mars,309,134846314.10325056,USD,24.4250716628742,13.171193002157274,62.40373533496852,23.766659771269836,11.90874434823724,64.32459588049292
SNT,Status,310,135282171.62808266,USD,45.98359468604759,2.80970625798212,51.2066990559703,50.59314558070335,2.265934615739095,47.14091980355756
ORCA,Orca,311,134988676.422,USD,,,,,,
GLMR,Moonbeam,312,133517892.79316999,USD,,,,,,
VVV,Venice Token,313,131229367.50347637,USD,,,,,,
ILV,Illuvium,314,132550056.33741473,USD,0.4969597754911132,0.2065793576551294,99.29646086685375,7.193249142500779,0.2299657000311818,92.57678515746804
0X0,0x0.ai,315,134592592.9868,USD,,,,,,
PHA,Phala Network,316,128574914.63150595,USD,42.01520912547528,6.3688212927756656,51.615969581749056,46.940068803186676,5.599311968133261,47.460619228680066
TAIKO,Taiko,317,131552733.70740677,USD,,,,,,
POWR,Powerledger,318,128043463.71743149,USD,36.65205055455249,1.51811046832971,61.8298389771178,37.90486016433914,1.3209771914956336,60.774162644165216
HMSTR,Hamster Kombat,319,127462500,USD,,,,,,
LSK,Lisk,320,126207055.61097665,USD,,,,,,
DESO,Decentralized Social,321,124090314.312,USD,,,,,,
XAI,Xai,322,124784277.12556572,USD,,,,,,
BAL,Balancer,323,128021900.89935975,USD,2.1966482362521966,1.3308473704513308,96.47250439329648,8.122240795508121,1.0715357250010715,90.80622347949081
ZENT,Zentry,324,125309963.05716603,USD,,,,,,
POND,Marlin,325,124044172.73522599,USD,,,,,,
NPC,Non-Playable Coin,326,123862100.76197228,USD,,,,,,
