Moneda,Descripción,Ranking,Precio,Precio - Divisa,Capitalización de mercado,Capitalización de mercado - Divisa,Capitalización de mercado totalmente diluida,Capitalización de mercado totalmente diluida - Divisa,Oferta circulante,Oferta total,Volumen/Capitalización de mercado,Ratio valor de red/transacciones,Velocidad
GAS,Gas,182,4.0583,USD,263758376.8973,USD,263758376.8973,USD,64992331,64992331,0.1183072383311412,1366.4908204914414,0.0007318014764565798
ATH,Aethir,183,0.042824,USD,264317024.952656,USD,1798608000,USD,6172170394,42000000000,0.2567872057453275,,
ETHFI,ether.fi,184,1.3274,USD,291166299.7064,USD,1327400000,USD,219350836,1000000000,0.859215948222195,,
POPCAT,Popcat (SOL),185,0.25541,USD,250294951.07868603,USD,250294960.36539364,USD,979973184.6,979973220.96,0.6272986308816327,,
CELO,Celo,186,0.45552,USD,256188714.40032,USD,455520000,USD,562409366,1000000000,0.31795660173169477,,
SKL,SKALE,187,0.044993,USD,259872939.22630298,USD,314951000,USD,5775852671,6076000000,0.39686119216556,51.161548479073964,0.019545929115281153
SUSHI,SushiSwap,188,0.96667,USD,254855314.99497685,USD,270915713.4328114,USD,263642520.19300985,280256668.18336284,0.7605390281024176,64.67830796192474,0.015461134211932176
SC,Siacoin,189,0.0045409,USD,251949489.4066222,USD,270521555.9334837,USD,55484483121.54468,59574435890.12833,0.17377631146122285,,
ID,SPACE ID,190,0.28548,USD,251115927.99995908,USD,570960000,USD,879627042.1744398,1995265932.1744397,0.2045863360523718,,
XYO,XYO,191,0.018353,USD,247338750.39127603,USD,255679624.46311402,USD,13476747692,13931216938,0.04020403708466096,88.38868593561895,0.01131366519837602
MASK,Mask Network,192,2.4863,USD,248630000,USD,248630000,USD,100000000,100000000,1.9853701163665356,,
ANKR,Ankr,193,0.024487,USD,244869999.99999997,USD,244869999.99999997,USD,10000000000,10000000000,0.19041648160380595,84.68971083790086,0.011807809828445818
CVX,Convex Finance,194,2.504,USD,245452083.62416235,USD,249988179.89769146,USD,98023995.05757283,99835535.10291192,0.14250703478986362,27.25511549821372,0.03669036001940771
T,Threshold,195,0.023892,USD,241522489.20867035,USD,266515260,USD,10108927222.864153,11155000000,0.1242066125726266,,
WOO,WOO,196,0.12829,USD,239037522.76571915,USD,285126249.4789775,USD,1863259199.9822214,2222513442.037396,0.17258939612769647,208.19963583803835,0.00480308236839528
ZETA,ZetaChain,197,0.34624,USD,236485526.78208,USD,727104000,USD,683010417,2100000000,0.2681083833089484,,
IO,io.net,198,1.7483,USD,236144073.34059998,USD,1398640000,USD,135070682,800000000,1.151202825600076,,
RVN,Ravencoin,199,0.015822,USD,233976389.67299348,USD,332262000,USD,14788041314.182373,14788041314.182373,0.1260084301656651,,
STETH,Lido Staked ETH,200,2866.56,USD,27160414865.529972,USD,27160414865.529972,USD,9474915.88019437,9474915.88019437,0.03244674081722636,61.67743226808545,0.01621338572678297
WBTC,Wrapped Bitcoin,201,101636.48,USD,13141675018.918203,USD,13141675018.918203,USD,129300.76896522,129300.76896522,0.08784652004816075,4.48742378536637,0.22284501037344223
WBETH,Wrapped Beacon ETH,202,3049.65,USD,6158006101.156466,USD,6158006101.156466,USD,2019250.11104765,2019250.11104765,0.012887142365050362,,
WEETH,Wrapped eETH,203,3038.95,USD,5942694080.467811,USD,5942694080.467811,USD,1955509.00161826,1955509.00161826,0.019965818877992193,,
BIT,BitDAO,204,1.1876,USD,2189542301.0059624,USD,11876000000,USD,1843669839.1764588,10000000000,0.00006502917289808153,23391.255894148777,0.000042751017924187035
FTN,Fasttoken,205,3.9131,USD,1707134926.5203,USD,3913100000,USD,436261513,880000000,0.03147533827339799,,
MSOL,Marinade Staked SOL,206,273.26,USD,1135132970.3999999,USD,1135132970.3999999,USD,4154040,4154040,0.0526140966509912,,
ZBU,ZEEBU,207,3.9186,USD,1014803134.0942321,USD,15475118863.556795,USD,258970840.12,3949144812.830295,0.009009134332638148,,
TEL,Telcoin,208,0.0072108,USD,662456800.3441424,USD,721080000,USD,91870083810.97,100000000000,0.023680729150361273,2396157.6036340366,4.1733481908009306e-7
FRAX,Frax,209,0.99655,USD,647192892.8042616,USD,647192892.8042616,USD,649433438.165934,649433438.165934,0.06407809549234839,29.230183797704022,0.034211211497019334
KLAY,Klaytn,210,0.1537,USD,584625430.3304,USD,900049935.9796681,USD,3803678792,5855887677.161146,0.0006904658250682836,,
BDX,Beldex,211,0.077411,USD,535168489.6768922,USD,768796435.8968922,USD,6913339056.166336,9931359056.166336,0.011798089716911517,,
CHEEL,Cheelee,212,7.9681,USD,452613291.2500286,USD,7968100000,USD,56803164.02279447,1000000000,0.010877945340576472,,
SNEK,Snek,213,0.005527,USD,411333546.661597,USD,424008668.76,USD,74422570411,75422570411,0.02072611923988675,,
DOG,Dog (Bitcoin),214,0.0036281,USD,362810000,USD,362810000,USD,100000000000,100000000000,0.2673415277433057,,
TRIBE,Tribe,215,0.56986,USD,310509885.12428516,USD,569860000,USD,544888016.5729918,1000000000,0.00043106735609136797,14272.462083674553,0.00007006499608388116
ARC,AI Rig Complex,216,0.29919,USD,299189497.06161,USD,299189497.06161,USD,999998319,999998319,0.27361884596929453,,
BORG,Swissborg,217,0.30639,USD,301322266.0280444,USD,301322266.0280444,USD,983459858.442,983459858.442,0.012525665303534406,,
OCEAN,Ocean Protocol,218,0.3775,USD,237518916.62665305,USD,532275000,USD,629189183.1169617,1410000000,0.004481199935538281,954.1419420392796,0.0010480620921691256
ONE,Harmony,219,0.016206,USD,233591026.3382977,USD,235200282.13829783,USD,14413860689.762907,14513160689.762915,0.2291898194552547,,
ACT,Act I : The AI Prophecy,220,0.2431,USD,230518611.40956014,USD,230518611.40956014,USD,948246036.238421,948246036.238421,1.9604652953337387,,
ELF,aelf,221,0.30703,USD,226821396.4386006,USD,305939147.0870164,USD,738759718.7199967,996447080.3733068,0.1127304922626157,4938.866025168778,0.00020247562798908413
OSMO,Osmosis,222,0.32309,USD,228931770.33909377,USD,323090000,USD,708569656.563477,997635761.752877,0.1462626328889152,,
ENJ,Enjin Coin,223,0.12649,USD,228069511.38123566,USD,236446767.99241757,USD,1803063573.256666,1869292181.14015,0.20897422838731833,992.1610298801353,0.0010079009050786964
UXLINK,UXLINK,224,0.6724,USD,227405680,USD,672400000,USD,338200000,1000000000,0.5054855657298223,,
ZKJ,Polyhedra Network,225,2.0199,USD,227244807.255921,USD,2019899999.9999998,USD,112502998.79,1000000000,0.1393144335214651,,
MPLX,Metaplex,226,0.29629,USD,223939877.02834,USD,296290000,USD,755813146,999983869,0.03256478524206112,,
IOTX,IoTeX,227,0.023249,USD,219502389.206193,USD,232490000,USD,9441369057,9441369062,0.14396697403755618,2617.7576312752262,0.0003820063355188675
GRIFFAIN,GRIFFAIN,228,0.21531,USD,215284403.9472,USD,215284403.9472,USD,999881120,999881120,0.5118870581445022,,
CPOOL,Clearpool,229,0.30319,USD,221936118.82995072,USD,303190000,USD,732003426.3331598,1000000000,0.16402801124906385,,
QUBIC,QUBIC,230,0.000001976,USD,221959258.63103914,USD,395199999.99999994,USD,112327560035951,131043523281470,0.04114917011486786,,
ZEN,Horizen,231,13.913,USD,220448745.878125,USD,292173000,USD,15844803.125,15844803.125,0.5211391235372604,,
ETHW,EthereumPoW,232,2.024,USD,218225654.07705835,USD,218225654.07705835,USD,107818999.04993,107818999.04993,0.1596840672583389,,
DRIFT,Drift,233,0.77199,USD,212845035.27098435,USD,771990000,USD,275709575.604586,1000000000,0.32905976162310524,,
PEAQ,peaq,234,0.31317,USD,211680651.3593756,USD,1325544746.2757452,USD,675928892.8038305,4232668347.146103,0.1541994997505753,,
YFI,yearn.finance,235,6413.47,USD,216052737.15273622,USD,235030381.8904143,USD,33687.33885911,36646.36801769,0.39191787033438796,79.05052511308243,0.012650137346582983
BIO,Bio Protocol,236,0.16332,USD,213420651.95243517,USD,542222400,USD,1306763727.36,3320000000,0.4410315649973819,,
VANA,Vana,237,6.9854,USD,210148773.6,USD,838248000,USD,30084000,112641600,0.2738443947633828,,
MEME,Memecoin,238,0.0053149,USD,201862589.26476276,USD,366728100,USD,37980505609.656395,69000000000,0.871027669939139,,
PNUT,Peanut the Squirrel,239,0.19511,USD,195081463.9274576,USD,195081463.9274576,USD,999853743.67002,999853743.67002,1.8082276138967341,,
GOMINING,Gomining,240,0.4776,USD,196944617.67974648,USD,197270668.25754598,USD,412363102.3445278,413045787.80893207,0.08937710400159328,,
ARKM,Arkham,241,0.87804,USD,197646804,USD,878040000,USD,225100000,1000000000,1.733384869506227,,
GMT,GMT,242,0.074207,USD,195469742.88721552,USD,384225143.6327355,USD,2634114610.30921,5177747970.30921,1.0592009006890444,,
AVAIL,Avail,243,0.100018,USD,196066256.07468998,USD,1028466061.07469,USD,1960309705,10282809705,0.04351606579948804,,
XCH,Chia,244,13.68,USD,190938723.12,USD,442308723.12,USD,13957509,32332509,0.2129782002551847,,
G,Gravity,245,0.021945,USD,192417710.1,USD,263340000,USD,8768180000,12000000000,0.12506002769923236,,
PAAL,PAAL AI,246,0.234,USD,203270071.11606002,USD,234000000,USD,868675517.59,1000000000,0.07592518139754131,,
SPELL,Spell Token,247,0.00115939,USD,182141868.8506435,USD,227250572.6280318,USD,157101466159.48343,196008739620,0.7141921233255178,14.41186695910763,0.06938726279096315
XEM,NEM,248,0.0208,USD,187199999.9792,USD,187199999.9792,USD,8999999999,8999999999,0.24781666233072722,404.1905921684657,0.0024740803456979087
LRC,Loopring,249,0.13644,USD,186489720.81728598,USD,187451286.3470489,USD,1366825863.509865,1373873397.4424574,0.2454160347759886,92.21091387451386,0.01084470327840867
KDA,Kadena,250,0.6102,USD,186236414.09008726,USD,610200000,USD,305205529.48228,1000000000,0.2682081981794281,,
GMX,GMX,251,18.849,USD,187651262.84316733,USD,187651262.84316733,USD,9955502.29949426,9955502.29949426,0.2917448032373811,9.731711257543301,0.10275685062325232
LUNA,Terra,252,0.26136,USD,185561532.95531052,USD,310157754.32663995,USD,709984438.91686,1186707049,0.5035154015424295,,
SUN,Sun (New),253,0.018914,USD,185460812.28465828,USD,376402407.22,USD,9805478073.631083,19900730000,0.5958021848600231,,
ANIME,Animecoin,254,0.033526,USD,185687259.697056,USD,335260000,USD,5538604656,10000000000,1.5367841576077237,,
TAI,TARS AI,255,0.26266,USD,181678033.31870002,USD,262659996.84808,USD,691685195,999999988,0.11908364729692146,,
DCR,Decred,256,11.0619,USD,183670926.93691638,USD,232299900,USD,16603922.19572735,16603922.19572735,0.0316432519820157,22.143005294885107,0.045160988162297626
USUAL,Usual,257,0.31562,USD,181016198.90759206,USD,1262480000,USD,573525755.3627528,616094294.5278802,0.7473180752327551,,
ONT,Ontology,258,0.19609,USD,178970922.77912998,USD,196090000,USD,912697857,1000000000,0.20426819132855448,30.374282263065165,0.03292258863400339
DAG,Constellation,259,0.06228,USD,178958361.24504,USD,187076937.28464,USD,2873448318,3003804388,0.024783749833301446,10115.715693992177,0.0000988560800096339
ETHDYDX,dYdX (ethDYDX),260,0.82731,USD,178021630.5626902,USD,293130270.45361745,USD,215181287.01779285,354317330.20707774,0.697195376148775,62.60655982417578,0.01597276711591244
BICO,Biconomy,261,0.18933,USD,175268294.3208661,USD,189330000,USD,925729120.1651407,1000000000,0.21238759807445873,,
CSPR,Casper,262,0.013876,USD,177830789.503948,USD,184112995.84019598,USD,12815709823,13268448821,0.1624667502920854,,
MANTA,Manta Network,263,0.46682,USD,176244049.47105125,USD,466820000,USD,377541770.8561142,1000000000,1.2966709587617475,,
POLYX,Polymesh,264,0.18979,USD,175256813.49157026,USD,214508050.68370548,USD,923424909.065653,1130238951.913723,0.12230183731837263,,
NEIRO,First Neiro On Ethereum,265,0.00040826,USD,171748545.07184327,USD,171750899.4,USD,420684233262.7327,420690000000,1.519444880259295,,
HONEY,Hivemapper,266,0.053,USD,168861591.37201282,USD,339557284.9818228,USD,3186067761.736091,6406741226.072128,0.013052237458159447,,
HIVE,Hive,267,0.34532,USD,172918728.5737674,USD,172918728.5737674,USD,500749242.945,500749242.945,0.6551121863223205,,
ME,Magic Eden,268,1.4857,USD,168442271.8374003,USD,1485700000,USD,113375696.195329,999999728.331055,0.4531047419872857,,
FXS,Frax Share,269,1.9296,USD,168816979.85426053,USD,192345413.8926514,USD,87488069.99080667,99681495.59113361,0.38141060741987737,33.71615277441773,0.029659374445555192
AEVO,Aevo,270,0.18716,USD,168887701.98460045,USD,187160000,USD,902370709.4710433,1000000000,0.8419896283262988,,
METIS,Metis,271,27.549,USD,170785461.787758,USD,275490000,USD,6199334.342,10000000,0.32580355564700175,58.55243461160384,0.017078709137088918
LCX,LCX,272,0.2245,USD,173220776.5995,USD,213275000,USD,771584751,950000000,0.018365212032751058,59.87967763248868,0.016700156706545694
FLUX,Flux,273,0.44283,USD,167887418.7020079,USD,194845200,USD,379123859.4991484,379123859.4991484,0.21956459001122347,,
BOME,BOOK OF MEME,274,0.0024011,USD,165563545.49531937,USD,165563545.49531937,USD,68953207069.8094,68953207069.8094,1.4910657440573318,,
BAND,Band Protocol,275,1.03675,USD,162330162.2685122,USD,162330162.2685122,USD,156575994.47167802,156575994.47167802,0.1584875293535927,197.7657638677384,0.00505648692899535
FIDA,Solana Name Service,276,0.16254,USD,161062810.08479992,USD,161062810.08479992,USD,990911837.607973,990911837.607973,0.5287783173665813,,
DGB,DigiByte,277,0.0090748,USD,158929088.2378564,USD,190570799.99999997,USD,17513233155.315422,17513233155.315422,0.07604980634467781,152.34815049821913,0.006563912963365378
ORBR,Orbler,278,0.15361,USD,156004280.6675,USD,307220000,USD,1015586750,2000000000,0.0005265083627496994,,
SSV,ssv.network,279,13.617,USD,160887623.37303314,USD,162334853.21097,USD,11815203.30271228,11921484.41,0.6111324118187001,,
SOLO,Sologenic,280,0.39991,USD,159943084.30708998,USD,159964000,USD,399947699,399947699,0.03537310943684743,,
COW,CoW Protocol,281,0.46774,USD,154999351.99879158,USD,467740000,USD,331379296.1876076,1000000000,0.2511194266912571,19.770371781419513,0.05058073824083646
ACX,Across Protocol,282,0.36977,USD,159031976.36506182,USD,369770000,USD,430083501.541666,1000000000,0.22481687853452215,,
UPC,UPCX,283,2.8357,USD,155692497.25526,USD,2211846000,USD,54904431.8,780000000,0.004838358496064846,,
WAVES,Waves,284,1.3314,USD,155623647.3708,USD,155623647.3708,USD,116887222,116887222,0.2079576343376419,,
ANON,Hey Anon,285,12.4985,USD,158227492.71357504,USD,262468500,USD,12659718.583316,21000000,0.11886275064639076,,
DYM,Dymension,286,0.68301,USD,154015538.70591,USD,710584716.72447,USD,225495291,1040372347,1.34249789962027,,
CHEEMS,Cheems (cheems.pet),287,8.2178e-7,USD,154079669.67772657,USD,180607563.87505156,USD,187495034775398,203672960023058,0.2530135810063242,,
UMA,UMA,288,1.8123,USD,153326122.60137403,USD,223166404.9810868,USD,84603058.32443526,123139880.25221364,0.2525629105777872,82.30164922367786,0.012150424802329526
COTI,COTI,289,0.084684,USD,151779898.01846495,USD,169368000,USD,1792309031.44,2000000000,0.3067242030573016,,
SXP,Solar,290,0.24034,USD,151978805.79827526,USD,151978803.15453526,USD,632349196.1316271,632349185.1316271,0.19989272069958747,13222.834753114059,0.00007562674862623492
VINE,Vine Coin,291,0.14601,USD,146009139.12504,USD,146009168.0627619,USD,999994104,999994104,2.731438631488947,,
ZIG,ZIGChain,292,0.10386,USD,148863445.68031558,USD,207720000,USD,1433308739.46,2000000000,0.33540474440273255,,
GOAT,Goatseus Maximus,293,0.14614,USD,146139407.1003933,USD,146140000,USD,999995942.934127,999995942.934127,1.234852977003889,,
VELO,Velo,294,0.019568,USD,144616826.44296,USD,469631999.99999994,USD,7390475595,23999998948,0.412050351205845,,
WAXP,WAX,295,0.033355,USD,144241556.92038772,USD,144401813.98552588,USD,4324435824.325819,4329240413.2971325,0.17496382813368003,,
ALT,AltLayer,296,0.056479,USD,144086738.15830502,USD,564790000,USD,2551155972.2782807,10000000000,0.5578416213356846,,
SKI,Ski Mask Dog,297,0.14367,USD,142146673.74249,USD,143670000,USD,989397047,1000000000,0.5244086486878302,,
STORJ,Storj,298,0.35553,USD,142455610.304345,USD,151100249.2889404,USD,400685203.2299525,424999998.00000113,0.26200169473299384,93.42539100638776,0.010703728282299907
ICX,ICON,299,0.13518,USD,141512084.7053336,USD,143171805.25945893,USD,1046841875.3168634,1059119731.1692479,0.1461892588887827,,
EDU,Open Campus,300,0.34603,USD,142120052.28955,USD,346030000,USD,410715985,1000000000,0.13716856026225843,,
CGPT,ChainGPT,301,0.17436,USD,138676195.88112,USD,174360000,USD,795344092,997985479,0.45029051296054534,,
RPL,Rocket Pool,302,6.6663,USD,140438309.17653698,USD,140438309.17653698,USD,21066905.05625864,21066905.05625864,0.18746619305383472,57381.9654516283,0.00001742707821402488
ALEO,Aleo,303,0.44139,USD,139977436.93135107,USD,732357472.8871841,USD,317128700.086887,1659207215.585274,0.158027171153329,,
KUB,Bitkub Coin,304,2.0544,USD,141701779.8144,USD,2054399999.9999998,USD,68974776,110000000,0.010609507073720843,,
SWFTC,SwftCoin,305,0.036335,USD,145521674.963665,USD,363350000,USD,4004999999,10000000000,1.210156952216922,4.215039496000998,0.23724570100677492
VVS,VVS Finance,306,0.000002881,USD,137576549.25225237,USD,288100000,USD,47753054235422.555,93609981273565.94,0.012695133853550304,,
AUDIO,Audius,307,0.105204,USD,136310594.894892,USD,136310594.894892,USD,1295678823,1295678823,0.18513340158585362,17.042405694337734,0.05867716201194798
XNO,Nano,308,1.0244,USD,136499555.4468,USD,136499555.4468,USD,133248297,133248297,0.05075674441415766,,
ELON,Dogelon Mars,309,2.4532e-7,USD,134840817.57554898,USD,245319999.99999997,USD,549652770159583.3,1000000000000000,0.2699496880777797,17.830667554164343,0.0560831498294886
SNT,Status,310,0.033841,USD,135170331.868846,USD,230283611.5880521,USD,3994277115.5948696,6804870174.878168,0.18027873293217114,139.79258359368603,0.007153455314242913
ORCA,Orca,311,2.5266,USD,134605095.05400002,USD,252659291.50678855,USD,53275190,99999719.586317,0.23947252144465148,,
GLMR,Moonbeam,312,0.1413,USD,133584070.32270001,USD,163596286.97190002,USD,945393279,1157793963,0.17009714529923836,,
VVV,Venice Token,313,5.2268,USD,130831376.5935816,USD,524927501.4592593,USD,25030874.83614862,100429995.68746829,1.1122512442769361,,
ILV,Illuvium,314,24.403,USD,132354802.76614965,USD,214579580.06757912,USD,5423710.31291848,8793163.9580207,0.5651756749955705,20.67267280288049,0.04837303862617425
0X0,0x0.ai,315,0.15496,USD,134592592.9868,USD,154960000,USD,868563455,1000000000,0.009432512403049842,,
PHA,Phala Network,316,0.16505,USD,128395992.61816345,USD,165050000,USD,777921797.1412508,1000000000,0.6231512834947837,,
TAIKO,Taiko,317,1.2042,USD,131149765.65151025,USD,1204200000,USD,108910285.37743752,1000000000,0.30430531842110553,,
POWR,Powerledger,318,0.22812,USD,127735491.94568796,USD,228120000,USD,559948675.897282,1000000000,0.23189773266333932,65.20608888077088,0.015335991119303243
HMSTR,Hamster Kombat,319,0.0019765,USD,127237187.5,USD,197650000,USD,64375000000,100000000000,0.5364990447960961,,
LSK,Lisk,320,0.75549,USD,125985265.246078,USD,302196000,USD,166759672.85613045,400000000,0.33056180359252424,,
DESO,Decentralized Social,321,13.967,USD,124090314.312,USD,150962207.764,USD,8884536,10808492,0.00924599860049559,,
XAI,Xai,322,0.12013,USD,124514787.03458934,USD,300325000,USD,1036500349.9091762,1544092617.6225917,1.2149016597367768,,
BAL,Balancer,323,2.0655,USD,127749763.90532275,USD,198599279.11200002,USD,61849316.82659053,66975118.04013926,0.17728068616988824,47.673652957049775,0.020975946628233454
ZENT,Zentry,324,0.019522,USD,125072912.66434865,USD,189499913.7218564,USD,6406767373.442713,9706992814.355925,0.1265992346200114,,
POND,Marlin,325,0.015341,USD,124068434.863157,USD,153410000,USD,8087375977,10000000000,0.13144902211323306,,
NPC,Non-Playable Coin,326,0.016988,USD,124132462.25853252,USD,136755549.32176,USD,7307067474.601632,8050126520,0.06972565287892381,,
WMTX,World Mobile Token,327,0.25324,USD,124553246.3162,USD,506480000.00000006,USD,491838755,2000000000,0.1414487106082992,,
XPR,XPR Network,328,0.0043941,USD,119270462.95313472,USD,132225180.00203516,USD,27143320123.1503,30091527275.6731,0.26096801530872266,,
XVG,Verge,329,0.0072713,USD,120136064.02044606,USD,120136064.02044606,USD,16521951235.741348,16521951235.741348,0.1405641546528928,3.1230454374141314,0.3202002724712183
STPT,STP,330,0.061167,USD,118812021.4519166,USD,118812021.4519166,USD,1942420283.027067,1942420283.027067,0.3719824111644883,,
HT,Huobi Token,331,0.77022,USD,124955751.32568,USD,385110000,USD,162233844,203980445,0.0012668618442983743,41417.42589327533,0.000024144426613493702
ACS,Access Protocol,332,0.0029111,USD,118058937.84875874,USD,257533208.1521109,USD,40554751760.076515,88465943510.0515,0.042025514469654655,,
UFD,Unicorn Fart Dust,333,0.121061,USD,121061000,USD,121061000,USD,1000000000,1000000000,0.3644911516700418,,
WILD,Wilder World,334,0.31307,USD,121098726.15344125,USD,156535000,USD,386810381.55505556,500000000,0.01631734565296968,,
CVC,Civic,335,0.11973,USD,119730000,USD,119730000,USD,1000000000,1000000000,0.32069348104672984,183.31069268204286,0.005455219143896455
IQ,IQ,336,0.005789,USD,118792747.94291298,USD,347340000,USD,20520426315.929,20520426315.929,0.1774268822178258,,
BIGTIME,Big Time,337,0.071929,USD,117239007.86145093,USD,359645000.00000006,USD,1629926842.60105,5000000000,0.9384414204944471,,
STRAX,Stratis [New],338,0.066061,USD,122513584.16204621,USD,134370278.5553071,USD,1854552370.7186725,2034033371.509773,0.1205275912942835,,
BORA,BORA,339,0.102675,USD,112916831.25,USD,123800381.25,USD,1099750000,1205750000,0.04671879170046786,,
PEPECOIN,PepeCoin,340,1.10628,USD,117699916.09890886,USD,147986433.9576,USD,106392519.16233581,108886663.90252899,0.030930721218175784,,
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),341,0.11582,USD,115796622.31210001,USD,115796622.31210001,USD,999798155,999798155,0.10278680123019822,,
LQTY,Liquity,342,1.2055,USD,113894767.29440652,USD,120550000,USD,94479276.0633816,100000000,0.8444525415893168,20.765909724897874,0.0481558483710936
BLAST,Blast,343,0.0045082,USD,113087631.62445939,USD,450820000.00000006,USD,25084874589.516743,100000000000,0.2689839400962149,,
SCR,Scroll,344,0.60277,USD,114526300,USD,602770000,USD,190000000,1000000000,0.8438028721399617,,
AGI,Delysium,345,0.10386,USD,113008586.74835248,USD,311580000,USD,1088085757.2535384,3000000000,0.14666413030254244,,
IOST,IOST,346,0.005224,USD,111349560,USD,111349560,USD,21315000000,21315000000,0.304516262490275,,
CETUS,Cetus Protocol,347,0.1736,USD,111744956.55493912,USD,173600000,USD,643692146.0537968,1000000000,0.9019092922641485,,
PEOPLE,ConstitutionDAO,348,0.021799,USD,110305933.75912529,USD,110305933.75912529,USD,5060137334.7,5060137334.7,1.755052179090543,,
CHR,Chromia,349,0.13233,USD,110950910.23804134,USD,129427313.52837001,USD,838441096.032958,838441096.032958,0.3447427001323146,,
ONG,Ontology Gas,350,0.26644,USD,107903900.68191412,USD,266440000,USD,404983863.8414432,1000000000,0.09372871742196763,,
MVL,MVL,351,0.0041255,USD,107894031.78972998,USD,123765000,USD,26152958863.10265,27802958863.1027,0.06683232776348923,83.54915377369343,0.011969002136259378
YGG,Yield Guild Games,352,0.25575,USD,108161452.68621968,USD,255746409.2461084,USD,422918681.0800379,999985959.9065824,0.6292170256176824,62.61029305265029,0.01597181471677635
KEEP,Keep Network,353,0.11374,USD,108516610.41443175,USD,113722800.328192,USD,954076054.2854911,999848780.8,0.0003272733079395638,24075.216473450444,0.000041536490486088685
RLC,iExec RLC,354,1.4921,USD,108001999.9681705,USD,129812379.17887215,USD,72382548.06525736,86999784.9868455,0.24077593998460212,9.362143918324007,0.10681314116980783
SYRUP,Maple Finance,355,0.134568,USD,107746979.3724674,USD,155416633.42766398,USD,800687974.6482626,1154930098,0.04782711212665396,,
DOGS,DOGS,356,0.0002053,USD,106088775,USD,112915000,USD,516750000000,550000000000,1.0306509256658294,,
EURC,EURC,357,1.0326,USD,105219770.66369392,USD,105219770.66369392,USD,101897899.1513596,101897899.1513596,0.4039791298879823,,
BTG,Bitcoin Gold,358,5.0513,USD,88468082.22511572,USD,106077300,USD,17513923.589,17513923.589,0.07001476565498205,216.20086748391435,0.004625328342285219
AL,ArchLoot,359,0.17736,USD,105237182.16062906,USD,176023532.88686907,USD,593353530.4500962,992464664.4500962,0.07687690104450759,,
CFG,Centrifuge,360,0.20075,USD,103371052.22125001,USD,112407962.82925001,USD,514924295,559940039,0.06473848469200738,,
XRD,Radix,361,0.0098793,USD,105308444.73814946,USD,129018764.75921659,USD,10659504695.489504,13059504697.621956,0.04141502371663599,,
PIXEL,Pixels,362,0.079554,USD,101844553.84672165,USD,397770000,USD,1280194004.66,5000000000,0.9577718711384604,,
CELR,Celer Network,363,0.013056,USD,101359265.14087711,USD,130560000,USD,7763424106.9912,10000000000,0.20010012985008438,124.41212827182478,0.00803780157039936
SLP,Smooth Love Potion,364,0.002471,USD,101776576.968878,USD,101776576.968878,USD,41188416418,41188416418,0.27260338990388067,675.9211130882883,0.001479462589104508
VANRY,Vanar Chain,365,0.053403,USD,100838847.63860784,USD,128167200,USD,1888261851.1807923,1938051040,0.37945529181115056,,
DF,dForce,366,0.10263,USD,102622420.42838214,USD,102622420.42838214,USD,999926146.6275177,999926146.6275177,0.7900590488599918,1042.5060449032571,0.0009592270518611701
LOFI,LOFI,367,0.095331,USD,95331000,USD,95331000,USD,1000000000,1000000000,0.5279632461633205,,
BB,BounceBit,368,0.20318,USD,100620024.24657536,USD,426678000,USD,495226027.3972603,2100000000,0.6418370637270072,,
DKA,dKargo,369,0.020738,USD,97192093.34024599,USD,103690000,USD,4686666667,5000000000,0.03829836068105835,,
TRB,Tellor,370,37.005,USD,97965297.765,USD,100727387.97000001,USD,2647353,2721994,1.4056734300492073,63.59549511920331,0.015724384221328904
ERG,Ergo,371,1.2513,USD,99550334.7864,USD,122301966.90120001,USD,79557528,79557528,0.004798770464560942,,
APU,Apu Apustaja,372,0.00029253,USD,98843592.8707812,USD,123064445.7,USD,337892157627.5295,337892157627.5295,0.08030265153117513,,
BANANA,Banana Gun,373,28.654,USD,99175327.55818745,USD,286540000,USD,3461133.78788956,8453619.62463985,0.4274453386710921,,
OXT,Orchid,374,0.097839,USD,95860608.13078272,USD,97839000,USD,979779107.8279902,1000000000,0.15731560599714134,40.931093534704175,0.024431304263887593
OMNI,Omni Network,375,5.8078,USD,95558687.130924,USD,580780000,USD,16453508.58,100000000,0.42376128148294273,,
PUNDIX,Pundi X (New),376,0.36948,USD,95507490.12374039,USD,95520422.9472,USD,258491637.23,258491637.23,0.1654789516399898,,
DENT,Dent,377,0.00095277,USD,95276999.99999994,USD,95277000,USD,99999999999.99994,99999999999.99994,0.2314141095315303,57.126960696601124,0.017504869641340765
ORBS,Orbs,378,0.023752,USD,94762794.70787199,USD,237520000,USD,3989676436,10000000000,0.1874917877969311,137.2600142616792,0.007285442926543422
MLK,MiL.k,379,0.21263,USD,90914649.42756075,USD,276419000,USD,427572070.8628168,986245419,0.06795387371894492,,
JOE,JOE,380,0.24031,USD,94348477.25492,USD,120155000,USD,392611532,464573155,0.2522975380067082,23.845788834795584,0.041936125784222664
SAGA,Saga,381,0.85367,USD,93947700.71281001,USD,900566989.7511201,USD,110051543,1054935736,0.6628114875611698,,
CTSI,Cartesi,382,0.110067,USD,94108447.78319475,USD,110067000,USD,855010564.3216836,1000000000,0.2884360119520985,162.68235978463412,0.00614694796242102
