Moneda,Descripción,Ranking,Precio,Precio - Divisa,Cambio de precio % 24 horas,Capitalización de mercado,Capitalización de mercado - Divisa,Volumen en USD 24 horas,Volumen en USD 24 horas - Divisa,Oferta circulante,Categoría
ZRO,LayerZero,159,3.0079,USD,4.450543723725822,330869000,USD,224983280.9148796,USD,110000000,Interoperabilidad
QTUM,Qtum,160,3.121,USD,5.507069887017126,329290736.406,USD,206662286.85596374,USD,105508086,Plataformas de contratos inteligentes (smart contracts)
AIXBT,aixbt by Virtuals,161,0.37127,USD,24.42043287726224,317260461.82334936,USD,279527813.03271943,USD,854527599.3841392,
BLUR,Blur,162,0.14891,USD,6.17865296803653,324946849.62779635,USD,123133006.88690649,USD,2182169428.700533,NFT y coleccionables
DASH,Dash,163,26.842,USD,2.336751419967215,325660155.7006077,USD,129677323.19992065,USD,12132484.75153147,"Privacidad, Criptomonedas, Organización autónoma descentralizada (DAO)"
CKB,Nervos Network,164,0.0070308,USD,6.414448784327973,321717720.2009242,USD,45750649.18459035,USD,45758337628.8508,"Plataformas de contratos inteligentes (smart contracts), Escalables"
NOT,Notcoin,165,0.0031123,USD,1.7407237746220865,318876788.91926175,USD,233197939.2392161,USD,102456957529.5639,"Memes, Videojuegos, Web3"
SFP,SafePal,166,0.65484,USD,3.191036732378385,319234500,USD,20579056.16723375,USD,487500000,Pagos
ASTR,Astar,167,0.041597,USD,2.5787047309124036,313293996.547898,USD,117365250.77348591,USD,7531648834,"Plataformas de contratos inteligentes (smart contracts), Interoperabilidad, Nivel 1"
MEW,cat in a dogs world,168,0.0035025,USD,8.121122326141311,311333333.33022,USD,84808049.36059257,USD,88888888888,Memes
HOT,Holo,169,0.0017561,USD,8.001722123131803,307260612.53211755,USD,34883834.41801078,USD,174967605792.44778,"Herramientas de desarrollo, Informática distribuida y almacenamiento, DePIN"
PRIME,Echelon Prime,170,8.6499,USD,17.174796747967495,309440147.2659,USD,21792076.99313874,USD,35773841,"Videojuegos, Gestión de datos e IA, NFT y coleccionables"
TURBO,Turbo,171,0.0043694,USD,9.817030260380005,301488600,USD,192417085.37409997,USD,69000000000,"Memes, Gestión de datos e IA, NFT y coleccionables, Web3"
ZIL,Zilliqa,172,0.01554,USD,4.136497720568514,302816234.237964,USD,72819087.66144113,USD,19486244159.45714,"Plataformas de contratos inteligentes (smart contracts), Nivel 1"
ORDI,ORDI,173,13.758,USD,2.2298201278430128,288918000,USD,413060863.6413454,USD,21000000,NFT y coleccionables
ZRX,0x Protocol,174,0.34227,USD,5.2132701421800975,290380691.5828739,USD,112573608.8274826,USD,848396562.8973439,"Mercado descentralizado, DeFi, Organización autónoma descentralizada (DAO)"
BAT,Basic Attention Token,175,0.19158,USD,4.742110156976433,286538228.0249802,USD,59760605.74525619,USD,1495658356.9526057,"Plataformas de contratos inteligentes (smart contracts), Gestión de datos e IA, Interoperabilidad, Redes sociales, medios de comunicación y contenidos, Marketing, Web3"
WEMIX,WEMIX,176,0.67974,USD,4.9969879052812045,283225359.5746463,USD,2877674.10561109,USD,416667195.6551715,"Videojuegos, Escalables, Mercado"
TRAC,OriginTrail,177,0.56551,USD,19.963152767777746,282752190.886757,USD,7062567.4805057,USD,499995032.602,"Privacidad, Informática distribuida y almacenamiento, Gestión de datos e IA, Interoperabilidad, Soluciones para empresas, Mercado, Web3, Nivel 1, DePIN"
BABYDOGE,Baby Doge Coin,178,1.6942e-9,USD,7.535551041137621,277361305.9798497,USD,185028690.73343813,USD,163712257100607780,"Memes, Mercado descentralizado, Videojuegos, Gestión de datos e IA, NFT y coleccionables, Interoperabilidad, Pagos, Redes sociales, medios de comunicación y contenidos, Marketing, Lealtad y recompensas, DeFi, Mercado, Web3"
GLM,Golem,179,0.2714,USD,3.072074124705698,271400000,USD,25592756.03513802,USD,1000000000,"Informática distribuida y almacenamiento, Gestión de datos e IA, Pagos, Web3, DePIN"
MOCA,Moca Network,180,0.16399,USD,1.580317302925134,267937562.41801572,USD,84695006.00927043,USD,1633865250.43,"NFT y coleccionables, Metaverso"
SATS,SATS (Ordinals),181,1.2727e-7,USD,2.703357004519056,267267000,USD,164337887.7246143,USD,2100000000000000,
GAS,Gas,182,4.0412,USD,4.7688160895708,262647008.0372,USD,31204525.15742384,USD,64992331,"Criptomonedas, Pagos"
ATH,Aethir,183,0.042703,USD,1.6689681443740783,263570192.33498198,USD,67873230.26851054,USD,6172170394,"Informática distribuida y almacenamiento, Gestión de datos e IA, DePIN"
ETHFI,ether.fi,184,1.3242,USD,12.510631059704034,290464377.0312,USD,250174728.2925823,USD,219350836,DeFi
POPCAT,Popcat (SOL),185,0.25641,USD,12.732468674433948,251274924.26328602,USD,157009680.128245,USD,979973184.6,Memes
CELO,Celo,186,0.4541,USD,1.7794312095201819,255390093.1006,USD,81456893.03273743,USD,562409366,"Plataformas de contratos inteligentes (smart contracts), Pagos, Nivel 1"
SKL,SKALE,187,0.044872,USD,5.3308261840404265,259174061.053112,USD,103133484.47291872,USD,5775852671,"Videojuegos, Informática distribuida y almacenamiento, Escalables, Nivel 1"
SUSHI,SushiSwap,188,0.96516,USD,4.2285652502973265,254457214.7894854,USD,193827413.57301518,USD,263642520.19300985,"Mercado descentralizado, DeFi, Organización autónoma descentralizada (DAO)"
SC,Siacoin,189,0.0045434,USD,7.865675540883924,252088200.6144261,USD,43782852.94362125,USD,55484483121.54468,"Informática distribuida y almacenamiento, Web3, DePIN"
ID,SPACE ID,190,0.28517,USD,2.0724461307180047,250843243.61688498,USD,51374887.63390283,USD,879627042.1744398,"Identidad, Web3"
XYO,XYO,191,0.018342,USD,12.595138718389382,247190506.166664,USD,9944016.29320456,USD,13476747692,"Informática distribuida y almacenamiento, Oráculos, Web3, DePIN"
MASK,Mask Network,192,2.4829,USD,8.772621708075903,248290000,USD,493622572.0322117,USD,100000000,"Privacidad, Redes sociales, medios de comunicación y contenidos, Web3"
ANKR,Ankr,193,0.024457,USD,6.31222014519846,244570000,USD,46627283.85032396,USD,10000000000,"Informática distribuida y almacenamiento, Derivados, Soluciones para empresas, Web3, DePIN"
CVX,Convex Finance,194,2.5008,USD,6.022307985919671,245138406.83997813,USD,34978648.62027302,USD,98023995.05757283,DeFi
T,Threshold,195,0.023848,USD,4.144104803493443,241077696.41086432,USD,29998690.24471771,USD,10108927222.864153,"Interoperabilidad, DeFi, Organización autónoma descentralizada (DAO)"
WOO,WOO,196,0.12802,USD,4.089763395397994,238534442.78172398,USD,41255341.70599596,USD,1863259199.9822214,"Mercado de valores centralizado, Mercado descentralizado, DeFi"
ZETA,ZetaChain,197,0.34567,USD,2.524847945408682,236096210.84438998,USD,63403752.26150848,USD,683010417,"Plataformas de contratos inteligentes (smart contracts), Interoperabilidad, Nivel 1"
IO,io.net,198,1.7442,USD,5.319727069621404,235590283.5444,USD,271849724.47841024,USD,135070682,"Informática distribuida y almacenamiento, Gestión de datos e IA, DePIN"
RVN,Ravencoin,199,0.015778,USD,5.771938057250122,233325715.85516948,USD,29482997.55852384,USD,14788041314.182373,"Criptomonedas, DeFi"
STETH,Lido Staked ETH,200,2855.74,USD,0.2651532445274893,27057896275.70627,USD,881266941.6301929,USD,9474915.88019437,"Derivados, DeFi"
WBTC,Wrapped Bitcoin,201,101584.67,USD,4.164349538616771,13134975946.078115,USD,1154450418.0158112,USD,129300.76896522,"Tokens anclados, Criptomonedas"
WBETH,Wrapped Beacon ETH,202,3041.3,USD,0.23925813477658242,6141145362.7292185,USD,79359101.31045209,USD,2019250.11104765,Derivados
WEETH,Wrapped eETH,203,3033.35,USD,0.2581391505536257,5931743230.058749,USD,118650753.65793666,USD,1955509.00161826,"Tokens anclados, DeFi"
BIT,BitDAO,204,1.1876,USD,20.117325781329015,2189542301.0059624,USD,142384.12485978,USD,1843669839.1764588,Organización autónoma descentralizada (DAO)
FTN,Fasttoken,205,3.9131,USD,0.25620660500628295,1707134926.5203,USD,53732649.29055886,USD,436261513,
MSOL,Marinade Staked SOL,206,273.31,USD,9.188606128400783,1135340672.4,USD,59723995.81635232,USD,4154040,"Derivados, DeFi"
ZBU,ZEEBU,207,3.9376,USD,-2.315841954381148,1019723580.0565121,USD,9142497.75623714,USD,258970840.12,Lealtad y recompensas
TEL,Telcoin,208,0.0072058,USD,31.42794608495814,661997449.9250877,USD,15687460.06276459,USD,91870083810.97,"Criptomonedas, Pagos"
FRAX,Frax,209,0.99654,USD,0.06828337601044474,647186398.4698799,USD,41470887.98708066,USD,649433438.165934,"Stablecoins, Stablecoins algorítmicas, Señoreaje, Concesión de préstamos y endeudamiento, DeFi"
KLAY,Klaytn,210,0.153,USD,4.315811004295359,581962855.176,USD,403663.88010898,USD,3803678792,"Plataformas de contratos inteligentes (smart contracts), Videojuegos, Metaverso, Nivel 1"
BDX,Beldex,211,0.077321,USD,4.793359284929531,534546289.1618373,USD,6313965.85487201,USD,6913339056.166336,"Privacidad, Gestión de datos e IA, Web3, DePIN"
CHEEL,Cheelee,212,7.9681,USD,1.6585652135083746,452613291.2500286,USD,4923502.64263623,USD,56803164.02279447,
SNEK,Snek,213,0.0055189,USD,13.553166463754357,410730723.84126794,USD,8525348.13547378,USD,74422570411,Memes
DOG,Dog (Bitcoin),214,0.0036321,USD,13.508695108219701,363210000,USD,96994179.68054874,USD,100000000000,Memes
TRIBE,Tribe,215,0.56976,USD,-0.14021312394838614,310455396.32262784,USD,133850.67522076,USD,544888016.5729918,"DeFi, Organización autónoma descentralizada (DAO)"
ARC,AI Rig Complex,216,0.29786,USD,60.37208301967954,297859499.29734004,USD,81863884.91213137,USD,999998319,
BORG,Swissborg,217,0.30669,USD,4.79737579443723,301617303.985577,USD,3774261.85276984,USD,983459858.442,Gestión de activos
OCEAN,Ocean Protocol,218,0.3775,USD,4.195418161744408,237518916.62665305,USD,1064369.75387648,USD,629189183.1169617,"Informática distribuida y almacenamiento, Gestión de datos e IA, DePIN"
ONE,Harmony,219,0.016162,USD,8.125836680053558,232956816.46794808,USD,53536685.1528421,USD,14413860689.762907,"Plataformas de contratos inteligentes (smart contracts), Nivel 1"
ACT,Act I : The AI Prophecy,220,0.24232,USD,36.163751897880005,229778979.50129417,USD,451923737.5969667,USD,948246036.238421,Memes
ELF,aelf,221,0.30715,USD,1.80043024987589,226910047.60484695,USD,25569687.67621735,USD,738759718.7199967,"Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Interoperabilidad, Web3, Organización autónoma descentralizada (DAO), Nivel 1"
OSMO,Osmosis,222,0.32237,USD,4.5708168429248195,228421600.18636808,USD,33484163.48171632,USD,708569656.563477,"Plataformas de contratos inteligentes (smart contracts), Mercado descentralizado"
ENJ,Enjin Coin,223,0.12604,USD,6.408308004052684,227258132.7732702,USD,47660650.15956644,USD,1803063573.256666,"Videojuegos, NFT y coleccionables, Metaverso, Mercado, Nivel 1"
UXLINK,UXLINK,224,0.6724,USD,10.058900523560206,227405680,USD,114950288.80497493,USD,338200000,"Redes sociales, medios de comunicación y contenidos"
ZKJ,Polyhedra Network,225,2.0216,USD,3.227288975131499,227436062.35386398,USD,31658481.59355316,USD,112502998.79,Interoperabilidad
MPLX,Metaplex,226,0.29629,USD,6.80581089362316,223939877.02834,USD,7292554.00256147,USD,755813146,
IOTX,IoTeX,227,0.023209,USD,2.981763322536269,219124734.443913,USD,31601094.76802954,USD,9441369057,"Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Internet de las cosas, DePIN"
GRIFFAIN,GRIFFAIN,228,0.21537,USD,55.95626040987762,215344396.81440002,USD,110201300.20092486,USD,999881120,
CPOOL,Clearpool,229,0.30273,USD,18.317238143644683,221599397.25383747,USD,36403740.19601273,USD,732003426.3331598,"Concesión de préstamos y endeudamiento, DeFi"
QUBIC,QUBIC,230,0.0000019767,USD,2.580477673935625,222037887.92306435,USD,9133439.29197858,USD,112327560035951,"Gestión de datos e IA, Nivel 1"
ZEN,Horizen,231,13.879,USD,2.006615214994485,219910022.571875,USD,114884466.21181433,USD,15844803.125,"Plataformas de contratos inteligentes (smart contracts), Soluciones para empresas, Web3"
ETHW,EthereumPoW,232,2.0192,USD,0.7132525312983181,217708122.88161868,USD,34847160.02313598,USD,107818999.04993,Plataformas de contratos inteligentes (smart contracts)
DRIFT,Drift,233,0.77169,USD,7.614107015855748,212762322.39830297,USD,70038736.56893153,USD,275709575.604586,"Mercado descentralizado, Derivados"
PEAQ,peaq,234,0.31277,USD,12.009030963302745,211410279.80225405,USD,32641050.54649165,USD,675928892.8038305,DePIN
YFI,yearn.finance,235,6400.03,USD,8.976419785039978,215599979.31846976,USD,84674928.62481567,USD,33687.33885911,"DeFi, Organización autónoma descentralizada (DAO)"
BIO,Bio Protocol,236,0.16331,USD,4.6969114443162905,213407584.3151616,USD,94125244.13334402,USD,1306763727.36,Organización autónoma descentralizada (DAO)
VANA,Vana,237,6.9753,USD,4.531355360755232,209844925.2,USD,57548063.71675916,USD,30084000,"Gestión de datos e IA, Nivel 1"
MEME,Memecoin,238,0.0053084,USD,6.447014415933832,201615715.9783,USD,175827900.77516776,USD,37980505609.656395,"Memes, NFT y coleccionables"
PNUT,Peanut the Squirrel,239,0.19475,USD,11.679209513414136,194721516.5797364,USD,352751690.0330285,USD,999853743.67002,Memes
GOMINING,Gomining,240,0.47767,USD,0.09635929448237471,196973483.09691057,USD,17602339.57691673,USD,412363102.3445278,"Videojuegos, NFT y coleccionables"
ARKM,Arkham,241,0.87284,USD,2.6699600094095572,196476284,USD,342597979.55986285,USD,225100000,"Gestión de datos e IA, Estadísticas, Mercado"
GMT,GMT,242,0.074331,USD,7.4753193960511055,195796373.09889385,USD,207041727.7235946,USD,2634114610.30921,"NFT y coleccionables, Moverse para ganar (move to earn)"
AVAIL,Avail,243,0.100076,USD,1.0248384491114721,196179954.03757998,USD,8532032.10040548,USD,1960309705,
XCH,Chia,244,13.697,USD,-0.6176427844790063,191176000.773,USD,40665785.60912063,USD,13957509,"Plataformas de contratos inteligentes (smart contracts), Nivel 1"
G,Gravity,245,0.021933,USD,6.860737273259226,192312491.94,USD,24063764.15492886,USD,8768180000,
PAAL,PAAL AI,246,0.23442,USD,34.68543521976442,203634914.83344778,USD,15433317.02217798,USD,868675517.59,Gestión de datos e IA
SPELL,Spell Token,247,0.00115734,USD,3.969067529898392,181819810.84501654,USD,130084288.06091908,USD,157101466159.48343,"Concesión de préstamos y endeudamiento, DeFi"
XEM,NEM,248,0.020961,USD,3.465126610395386,188648999.979039,USD,46391279.18315755,USD,8999999999,"Criptomonedas, Plataformas de contratos inteligentes (smart contracts), Soluciones para empresas"
LRC,Loopring,249,0.1362,USD,5.6264994969429605,186161682.61004362,USD,45767567.80945946,USD,1366825863.509865,"Mercado descentralizado, Escalables, DeFi"
KDA,Kadena,250,0.60965,USD,8.478647686832733,186068551.04887202,USD,49950133.05850016,USD,305205529.48228,"Plataformas de contratos inteligentes (smart contracts), Videojuegos, Gestión de datos e IA, NFT y coleccionables, Pagos, DeFi, Organización autónoma descentralizada (DAO), Nivel 1"
GMX,GMX,251,18.807,USD,5.397982062780274,187233131.74658856,USD,54746280.75542594,USD,9955502.29949426,"Mercado descentralizado, Derivados, DeFi"
LUNA,Terra,252,0.26122,USD,3.954959614849005,185462135.13386217,USD,93433089.77682193,USD,709984438.91686,Plataformas de contratos inteligentes (smart contracts)
SUN,Sun (New),253,0.018892,USD,3.984370700566832,185245091.7670384,USD,110497957.16511402,USD,9805478073.631083,"Pagos, DeFi"
ANIME,Animecoin,254,0.033417,USD,0.9057971014492804,185083551.789552,USD,285361238.9720268,USD,5538604656,NFT y coleccionables
TAI,TARS AI,255,0.26285,USD,21.193121571158553,181809453.50574997,USD,21634882.84132242,USD,691685195,Gestión de datos e IA
DCR,Decred,256,11.0591,USD,5.450905624404191,183624435.95476836,USD,5811945.42283524,USD,16603922.19572735,"Criptomonedas, Organización autónoma descentralizada (DAO)"
USUAL,Usual,257,0.3143,USD,7.884529571276576,180259144.91051322,USD,135276677.35357124,USD,573525755.3627528,
ONT,Ontology,258,0.19559,USD,3.4382438508331163,178514573.85063002,USD,36558066.69649527,USD,912697857,"Plataformas de contratos inteligentes (smart contracts), Identidad"
DAG,Constellation,259,0.06221,USD,15.591098231535156,178757219.86278,USD,4435259.25567466,USD,2873448318,"Plataformas de contratos inteligentes (smart contracts), Interoperabilidad"
ETHDYDX,dYdX (ethDYDX),260,0.82605,USD,1.114380286870178,177750502.14104778,USD,124115857.68277305,USD,215181287.01779285,"Mercado descentralizado, Derivados, DeFi"
BICO,Biconomy,261,0.18894,USD,2.373083382998318,174907259.9640017,USD,37224812.04941605,USD,925729120.1651407,"Interoperabilidad, Web3, Nivel 1"
CSPR,Casper,262,0.013862,USD,19.027574950605615,177651369.56642598,USD,28891590.47258232,USD,12815709823,"Plataformas de contratos inteligentes (smart contracts), Gestión de datos e IA, Soluciones para empresas, Nivel 1"
MANTA,Manta Network,263,0.46487,USD,4.323608022819664,175507843.0178818,USD,228530540.60368088,USD,377541770.8561142,Web3
POLYX,Polymesh,264,0.20315,USD,11.32116828319359,187593770.27668738,USD,21434230.2925824,USD,923424909.065653,Plataformas de contratos inteligentes (smart contracts)
NEIRO,First Neiro On Ethereum,265,0.00040734,USD,-0.3329171868497713,171361515.57724154,USD,260962447.50139502,USD,420684233262.7327,Memes
HONEY,Hivemapper,266,0.053,USD,3.0727343446129876,168861591.37201282,USD,2204021.5881502,USD,3186067761.736091,"Informática distribuida y almacenamiento, Internet de las cosas, DePIN"
HIVE,Hive,267,0.34555,USD,7.699021258026308,173033900.89964476,USD,113281166.33203667,USD,500749242.945,"Redes sociales, medios de comunicación y contenidos, Web3, Nivel 1"
ME,Magic Eden,268,1.4845,USD,4.741409722712194,168306221.00196588,USD,76321992.12063749,USD,113375696.195329,"NFT y coleccionables, Pagos, Mercado, Web3"
FXS,Frax Share,269,1.923,USD,-6.409694845962911,168239558.59232122,USD,64388586.82900271,USD,87488069.99080667,"Stablecoins algorítmicas, Señoreaje, Mercado descentralizado, DeFi"
AEVO,Aevo,270,0.18661,USD,-0.5383221404967545,168391398.0943914,USD,142201693.42289644,USD,902370709.4710433,"Mercado descentralizado, DeFi"
METIS,Metis,271,27.415,USD,2.939078863406033,169954750.98593,USD,55642510.7032667,USD,6199334.342,Escalables
LCX,LCX,272,0.22445,USD,16.434092441769995,173182197.36195,USD,3181236.29072762,USD,771584751,"Mercado de valores centralizado, DeFi"
FLUX,Flux,273,0.44263,USD,1.693785622357048,167811593.93010807,USD,36862132.25534897,USD,379123859.4991484,"Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Gestión de datos e IA, Interoperabilidad, Organización autónoma descentralizada (DAO), DePIN"
BOME,BOOK OF MEME,274,0.0023971,USD,4.512556679455891,165287732.66704014,USD,246866131.1527483,USD,68953207069.8094,Memes
BAND,Band Protocol,275,1.03688,USD,5.651819386403028,162350517.1477935,USD,25727306.35750429,USD,156575994.47167802,"Oráculos, Gestión de datos e IA, Web3"
FIDA,Solana Name Service,276,0.16236,USD,1.3356634627387363,160884445.95403048,USD,85166521.70697375,USD,990911837.607973,"Mercado descentralizado, DeFi"
DGB,DigiByte,277,0.0090781,USD,7.805892135899252,158986881.90726894,USD,12086526.38302519,USD,17513233155.315422,"Criptomonedas, Plataformas de contratos inteligentes (smart contracts)"
ORBR,Orbler,278,0.15391,USD,15.022168783347118,156308956.6925,USD,82137.55839619,USD,1015586750,
SSV,ssv.network,279,13.576,USD,-4.45590000706165,160403200.03762192,USD,98323641.30374041,USD,11815203.30271228,Herramientas de desarrollo
SOLO,Sologenic,280,0.40001,USD,1.6153201432453652,159983079.07698998,USD,5657684.22486161,USD,399947699,"Tokens garantizados por activos, Gestión de activos, Pagos"
COW,CoW Protocol,281,0.46641,USD,9.759024803501672,154558617.53486204,USD,38923348.4114529,USD,331379296.1876076,Mercado descentralizado
ACX,Across Protocol,282,0.36876,USD,16.08710702709507,158597592.02850473,USD,35753072.5135691,USD,430083501.541666,"Interoperabilidad, Lealtad y recompensas"
UPC,UPCX,283,2.8358,USD,-2.34520283766099,155697987.69844,USD,753296.11686854,USD,54904431.8,Pagos
WAVES,Waves,284,1.3293,USD,3.286968684435466,155378184.20459998,USD,32363125.55422695,USD,116887222,"Plataformas de contratos inteligentes (smart contracts), Nivel 1"
ANON,Hey Anon,285,12.477,USD,51.54864569415765,157955308.76403373,USD,18807355.01181728,USD,12659718.583316,
DYM,Dymension,286,0.68256,USD,2.4337512198783795,153914065.82496,USD,206765537.22156858,USD,225495291,
CHEEMS,Cheems (cheems.pet),287,8.2234e-7,USD,2.1098617420011423,154184666.8972008,USD,38984248.98543315,USD,187495034775398,Memes
UMA,UMA,288,1.8094,USD,2.533295551147632,153080773.73223317,USD,38724491.79180966,USD,84603058.32443526,"Oráculos, Derivados, DeFi, Web3, Organización autónoma descentralizada (DAO)"
COTI,COTI,289,0.084491,USD,8.27629521392498,151433982.37539703,USD,46554568.25983217,USD,1792309031.44,"Herramientas de desarrollo, Soluciones para empresas, Pagos"
SXP,Solar,290,0.24009,USD,4.742169095192388,151820718.49924234,USD,30379456.97969148,USD,632349196.1316271,"Criptomonedas, Pagos, DeFi"
VINE,Vine Coin,291,0.14566,USD,-0.1984805968106117,145659141.18864,USD,398815003.15657854,USD,999994104,
ZIG,ZIGChain,292,0.10402,USD,1.8797728607793274,149092775.0786292,USD,49929505.94931631,USD,1433308739.46,"Gestión de datos e IA, Gestión de activos, Mercado"
GOAT,Goatseus Maximus,293,0.14599,USD,11.55256723716381,145989407.7089532,USD,180460681.91550392,USD,999995942.934127,Memes
VELO,Velo,294,0.019536,USD,16.02019602019603,144380331.22392002,USD,59589414.1260964,USD,7390475595,"NFT y coleccionables, Concesión de préstamos y endeudamiento"
WAXP,WAX,295,0.033353,USD,4.886106216964507,144232908.04873905,USD,25237054.97475314,USD,4324435824.325819,"Videojuegos, NFT y coleccionables, Nivel 1"
ALT,AltLayer,296,0.056354,USD,3.508384819064431,143767843.66177022,USD,80377579.62719913,USD,2551155972.2782807,"Interoperabilidad, Escalables"
SKI,Ski Mask Dog,297,0.14357,USD,19.37926443667831,142047734.03779,USD,74542945.09276906,USD,989397047,Memes
STORJ,Storj,298,0.35526,USD,6.959795211564512,142347425.29947293,USD,37323611.32396133,USD,400685203.2299525,"Informática distribuida y almacenamiento, Web3, DePIN"
ICX,ICON,299,0.13497,USD,5.916974024954893,141292247.91151705,USD,20687546.78687936,USD,1046841875.3168634,"Plataformas de contratos inteligentes (smart contracts), Interoperabilidad, Soluciones para empresas"
EDU,Open Campus,300,0.34582,USD,-0.8488428780361956,142033801.9327,USD,19494402.95695446,USD,410715985,Formación
CGPT,ChainGPT,301,0.17449,USD,9.583621176913896,138779590.61308,USD,62444575.37872659,USD,795344092,"Plataformas de contratos inteligentes (smart contracts), Gestión de datos e IA, NFT y coleccionables, Redes sociales, medios de comunicación y contenidos, DeFi, Estadísticas, Organización autónoma descentralizada (DAO)"
RPL,Rocket Pool,302,6.6474,USD,2.849271818364738,140040144.6709737,USD,26327435.18024281,USD,21066905.05625864,"Derivados, DeFi"
ALEO,Aleo,303,0.44493,USD,22.63646634151718,141100072.52965865,USD,22120238.38355493,USD,317128700.086887,"Plataformas de contratos inteligentes (smart contracts), Nivel 1"
KUB,Bitkub Coin,304,2.0565,USD,1.0763786493659702,141846626.844,USD,1503386.03529971,USD,68974776,
SWFTC,SwftCoin,305,0.036281,USD,3.135482403775086,145305404.963719,USD,176104066.65553042,USD,4004999999,"NFT y coleccionables, Interoperabilidad, Pagos, DeFi, Mercado"
VVS,VVS Finance,306,0.000002881,USD,5.504083202109352,137576549.25225237,USD,1746552.7078669,USD,47753054235422.555,"Mercado descentralizado, DeFi"
AUDIO,Audius,307,0.105316,USD,1.518218623481788,136455710.92306802,USD,25235644.10508265,USD,1295678823,"Redes sociales, medios de comunicación y contenidos, Web3, Organización autónoma descentralizada (DAO)"
XNO,Nano,308,1.0227,USD,9.426492617162417,136273033.3419,USD,6928273.04845937,USD,133248297,"Criptomonedas, Pagos"
ELON,Dogelon Mars,309,2.4519e-7,USD,3.083904037645482,134769362.71542823,USD,36400236.64467224,USD,549652770159583.3,"Memes, Criptomonedas"
SNT,Status,310,0.033829,USD,2.612178028579232,135122400.54345885,USD,24368336.15933663,USD,3994277115.5948696,"Herramientas de desarrollo, Redes sociales, medios de comunicación y contenidos"
ORCA,Orca,311,2.5269,USD,16.529878273699733,134621077.611,USD,32234221.51187837,USD,53275190,"Mercado descentralizado, DeFi"
GLMR,Moonbeam,312,0.14104,USD,6.427763108261034,133338268.07016,USD,22722269.01934398,USD,945393279,"Interoperabilidad, Pagos, Nivel 1"
VVV,Venice Token,313,5.2152,USD,61.29102167182662,130541018.44548228,USD,145517361.40667555,USD,25030874.83614862,Gestión de datos e IA
ILV,Illuvium,314,24.352,USD,5.628851662182089,132078193.54019082,USD,74803714.99226424,USD,5423710.31291848,"Videojuegos, NFT y coleccionables, Metaverso, Organización autónoma descentralizada (DAO)"
0X0,0x0.ai,315,0.15496,USD,11.747313766495997,134592592.9868,USD,1269546.30270663,USD,868563455,"Privacidad, Gestión de datos e IA"
PHA,Phala Network,316,0.16541,USD,9.33535940803383,128676044.46513431,USD,80010127.59559533,USD,777921797.1412508,"Privacidad, Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Oráculos, Interoperabilidad, Escalables, Metaverso, Web3, Nivel 1, DePIN"
TAIKO,Taiko,317,1.201,USD,9.015798075177063,130801252.73830247,USD,39909571.1974362,USD,108910285.37743752,Escalables
POWR,Powerledger,318,0.2276,USD,7.586858898605535,127444318.63422137,USD,29621570.96284128,USD,559948675.897282,"Energía, Mercado"
HMSTR,Hamster Kombat,319,0.0019723,USD,-1.542531948881786,126966812.50000001,USD,68262629.55629177,USD,64375000000,Videojuegos
LSK,Lisk,320,0.75332,USD,7.383933919293504,125623396.7559802,USD,41645916.50582611,USD,166759672.85613045,"Herramientas de desarrollo, DePIN"
DESO,Decentralized Social,321,13.967,USD,-1.0694808414193626,124090314.312,USD,1147338.87246381,USD,8884536,"Plataformas de contratos inteligentes (smart contracts), Redes sociales, medios de comunicación y contenidos"
XAI,Xai,322,0.11993,USD,4.885736800630407,124307486.9646075,USD,151273221.43009388,USD,1036500349.9091762,Videojuegos
BAL,Balancer,323,2.0651,USD,3.2100000000000017,127725024.17859212,USD,22647565.80317684,USD,61849316.82659053,"Mercado descentralizado, DeFi, Organización autónoma descentralizada (DAO)"
ZENT,Zentry,324,0.019486,USD,-2.853721812013568,124842269.0389047,USD,15834135.01500207,USD,6406767373.442713,Videojuegos
POND,Marlin,325,0.015308,USD,6.709398731972413,123801551.455916,USD,16308674.43788134,USD,8087375977,"Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Gestión de datos e IA, Escalables, DeFi, Web3, DePIN"
NPC,Non-Playable Coin,326,0.016976,USD,10.48560098810375,124044777.44883732,USD,8655216.97444455,USD,7307067474.601632,Memes
WMTX,World Mobile Token,327,0.25334,USD,4.4633674770661065,124602430.19170001,USD,17617896.09350438,USD,491838755,"Informática distribuida y almacenamiento, DePIN"
XPR,XPR Network,328,0.0043932,USD,39.95794571173697,119246033.96502389,USD,31125776.0018321,USD,27143320123.1503,"Mercado descentralizado, Pagos, DeFi"
XVG,Verge,329,0.0072548,USD,9.114841893070967,119863451.82505633,USD,16886824.28235981,USD,16521951235.741348,Criptomonedas
STPT,STP,330,0.061131,USD,2.780906905190234,118742094.32172762,USD,44195982.21501085,USD,1942420283.027067,"Herramientas de desarrollo, Organización autónoma descentralizada (DAO)"
HT,Huobi Token,331,0.76971,USD,-3.8367357137502824,124873012.06524,USD,158301.67358014,USD,162233844,"Mercado de valores centralizado, Nivel 1"
