Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Direcciones totales,Direcciones con saldo,Direcciones con saldo cero,Direcciones activas diarias,Nuevas direcciones financiadas,Ratio de direcciones activas,Saldo medio en USD,Saldo medio en USD - Divisa
EGLD,MultiversX,108,686256462.8005602,USD,,,,,,,,
HNT,Helium,109,655490751.2089194,USD,,,,,,,,
MATIC,Polygon,110,661480204.28952,USD,2321809,593001,324,1036,413,0.17470459577639835,5595.2,USD
FTT,FTX Token,111,637135595.1069446,USD,144798,27271,15,75,19,0.2750174177697921,21122.3,USD
BRETT,Brett (Based),112,632292902.4737899,USD,,,,,,,,
BEAM,Beam,113,631483009.208688,USD,,,,,,,,
CFX,Conflux,114,593777219.4584773,USD,,,,,,,,
CHZ,Chiliz,115,589377613.98862,USD,485947,82690,118,322,85,0.3894062159874229,7197.73,USD
ZEC,Zcash,116,580567923.675,USD,,764808,,3150,,,,
W,Wormhole,117,581414978.897,USD,,,,,,,,
PAXG,PAX Gold,118,572817169.9115599,USD,125801,31377,156,674,211,2.1480702425343403,16472.93,USD
APE,ApeCoin,119,575748302.9144,USD,576499,152742,266,994,266,0.6507705804559322,4457.62,USD
AKT,Akash Network,120,576345815.1469066,USD,,,,,,,,
KAVA,Kava,121,561741243.51312,USD,,,,,,,,
XEC,eCash,122,549871071.2627479,USD,,,,,,,,
RSR,Reserve Rights,123,533951784.30485797,USD,,,,,,,,
MORPHO,Morpho,124,529984703.46811223,USD,,,,,,,,
CORE,Core,125,528184665.04205275,USD,,,,,,,,
RUNE,THORChain,126,511681147.262,USD,,,,,,,,
COMP,Compound,127,514379172.25170904,USD,659664,213048,104,357,83,0.16756787202883858,2561.21,USD
PENDLE,Pendle,128,523541940.81334424,USD,105272,44992,196,874,162,1.9425675675675675,15085.9,USD
AI16Z,ai16z,129,497595645.7641561,USD,,,,,,,,
AMP,Amp,130,499097294.1947984,USD,,97356,,279,,,,
EIGEN,EigenLayer,131,527008122.191376,USD,,,,,,,,
TUSD,TrueUSD,132,494079086.3593,USD,276542,37574,19,79,8,0.21025176984084737,8200.24,USD
GIGA,Gigachad,133,492851084.238128,USD,,,,,,,,
GNO,Gnosis,134,484288180.51375777,USD,86123,18474,28,110,20,0.5954314171267728,68687.67,USD
PYUSD,PayPal USD,135,477489154.71980274,USD,89085,,282,,278,3.4120363824873934,15682.07,USD
ZK,zkSync,136,452502750,USD,,,,,,,,
MINA,Mina,137,459262302.62496525,USD,,,,,,,,
VTHO,VeThor Token,138,446642865.7908272,USD,,,,,,,,
CAKE,PancakeSwap,139,448655111.6167285,USD,,,,,,,,
NFT,APENFT,140,444025559.7,USD,,,,,,,,
SNX,Synthetix,141,432310227.33727276,USD,416579,99152,82,313,61,0.3156769404550589,5162.55,USD
TOSHI,Toshi,142,422188497.78000003,USD,,,,,,,,
SUPER,SuperVerse,143,400254169.6348682,USD,,,,,,,,
AXL,Axelar,144,409439065.8746007,USD,,,,,,,,
MOG,MOG Coin,145,422793253.0392214,USD,,,,,,,,
1INCH,1inch Network,146,388838996.1235731,USD,383900,100290,98,417,101,0.4157941968291954,3821.82,USD
LUNC,Terra Classic,147,372433182.5286551,USD,,,,,,,,
ACH,Alchemy Pay,148,360312741.42969257,USD,,,,,,,,
CTC,Creditcoin,149,367492333.68413997,USD,,,,,,,,
GRASS,GRASS,150,356930710.16940004,USD,,,,,,,,
TFUEL,Theta Fuel,151,362794141.0125,USD,,,,,,,,
TWT,Trust Wallet Token,152,362843731.914,USD,,,,,,,,
ROSE,Oasis,153,346707631.98348,USD,,,,,,,,
KSM,Kusama,154,345617146.160836,USD,,,,,,,,
SAFE,Safe,155,346350841.55541,USD,,,,,,,,
LPT,Livepeer,156,344782361.229058,USD,2742302,2186078,103,290,59,0.01326576636332281,103.15,USD
MX,MX TOKEN,157,334115815.0458,USD,,,,,,,,
JST,JUST,158,335303100.00000006,USD,,,,,,,,
ZRO,LayerZero,159,332255000,USD,,,,,,,,
QTUM,Qtum,160,329797175.2188,USD,,,,,,,,
AIXBT,aixbt by Virtuals,161,319183148.9219637,USD,,,,,,,,
BLUR,Blur,162,326430724.83931273,USD,265934,,68,,59,0.6155292432347741,8007.32,USD
DASH,Dash,163,326315309.8771905,USD,,1587032,,39172,,,,
CKB,Nervos Network,164,323447385.3632948,USD,,,,,,,,
NOT,Notcoin,165,319696444.57949823,USD,,,,,,,,
SFP,SafePal,166,320136375,USD,,,,,,,,
ASTR,Astar,167,314355959.03349197,USD,,,,,,,,
MEW,cat in a dogs world,168,311724444.4413272,USD,,,,,,,,
HOT,Holo,169,307435580.13791,USD,,,,,,,,
PRIME,Echelon Prime,170,309747802.2985,USD,,,,,,,,
TURBO,Turbo,171,300384600,USD,141776,,218,,222,1.9286769360624605,5692.46,USD
ZIL,Zilliqa,172,303283904.09779096,USD,,,,,,,,
ORDI,ORDI,173,289695000,USD,,,,,,,,
ZRX,0x Protocol,174,290762470.0361777,USD,798499,178429,61,247,57,0.13843041209668833,2135.98,USD
BAT,Basic Attention Token,175,287121534.7841917,USD,1425175,420028,71,260,61,0.06190063519574885,674.81,USD
WEMIX,WEMIX,176,283158692.8233414,USD,,,,,,,,
TRAC,OriginTrail,177,283467183.7833779,USD,90178,20763,42,191,34,0.9199056013100226,11846.23,USD
BABYDOGE,Baby Doge Coin,178,277606874.3655006,USD,,,,,,,,
GLM,Golem,179,272560000,USD,70607,18931,32,129,22,0.6814220062331625,12682.93,USD
MOCA,Moca Network,180,268885204.2632651,USD,,,,,,,,
SATS,SATS (Ordinals),181,268044000,USD,,,,,,,,
GAS,Gas,182,263862364.6269,USD,,442710,,50,,,,
ATH,Aethir,183,264286164.100686,USD,,,,,,,,
ETHFI,ether.fi,184,291648871.5456,USD,,,,,,,,
POPCAT,Popcat (SOL),185,250696740.08437198,USD,,,,,,,,
CELO,Celo,186,256436174.52135998,USD,,,,,,,,
SKL,SKALE,187,260797075.65366298,USD,81044,25791,38,206,39,0.7987282385328216,9283.39,USD
SUSHI,SushiSwap,188,254902770.64861158,USD,378153,112370,93,350,60,0.31147103319391295,2693.43,USD
SC,Siacoin,189,252088200.6144261,USD,,,,,,,,
ID,SPACE ID,190,251511760.1689376,USD,,,,,,,,
XYO,XYO,191,246988354.951284,USD,228813,91512,88,344,95,0.37590698487630037,2875.75,USD
MASK,Mask Network,192,248970000,USD,61375,,44,,24,1.5117994100294985,19701.55,USD
ANKR,Ankr,193,245860000,USD,203106,50988,73,241,74,0.4726602337804974,4487.18,USD
CVX,Convex Finance,194,245657934.01378325,USD,79197,22228,115,458,21,2.0604642792873853,10147.06,USD
T,Threshold,195,241502271.35422462,USD,,,,,,,,
WOO,WOO,196,239466072.3817151,USD,79306,17195,43,165,19,0.959581273626054,20638.66,USD
ZETA,ZetaChain,197,236704090.11552,USD,,,,,,,,
IO,io.net,198,236319665.2272,USD,,,,,,,,
RVN,Ravencoin,199,234005965.75562188,USD,,,,,,,,
STETH,Lido Staked ETH,200,27162404597.864815,USD,510381,348141,116,1197,236,0.3438262083466182,309165.96,USD
WBTC,Wrapped Bitcoin,201,13153946954.900692,USD,538557,84617,2723,5395,1976,6.375787371332002,110894.73,USD
WBETH,Wrapped Beacon ETH,202,6158470528.682007,USD,,,,,,,,
WEETH,Wrapped eETH,203,5942381199.027553,USD,,,,,,,,
BIT,BitDAO,204,2189542301.0059624,USD,,15475,,67,,,,
FTN,Fasttoken,205,1708443711.0593,USD,,,,,,,,
MSOL,Marinade Staked SOL,206,1137459232.8,USD,,,,,,,,
ZBU,ZEEBU,207,1014803134.0942321,USD,,,,,,,,
TEL,Telcoin,208,663008020.8470082,USD,45854,17782,0,0,0,0,31142.79,USD
FRAX,Frax,209,647192892.8042616,USD,39999,7424,19,152,6,2.0474137931034484,81028.63,USD
KLAY,Klaytn,210,586869600.81768,USD,,,,,,,,
BDX,Beldex,211,534822822.7240839,USD,,,,,,,,
CHEEL,Cheelee,212,452227029.7346736,USD,,,,,,,,
SNEK,Snek,213,411683332.7425287,USD,,,,,,,,
DOG,Dog (Bitcoin),214,362960000,USD,,,,,,,,
TRIBE,Tribe,215,310237441.1159986,USD,55578,12514,6,20,5,0.15982100047946302,40370.02,USD
ARC,AI Rig Complex,216,299859495.93534,USD,,,,,,,,
BORG,Swissborg,217,302423741.06949943,USD,,,,,,,,
OCEAN,Ocean Protocol,218,237518916.62665305,USD,181510,36706,44,132,26,0.35961423200566667,13677.1,USD
ONE,Harmony,219,234196408.4872677,USD,,,,,,,,
ACT,Act I : The AI Prophecy,220,230082418.23289046,USD,,,,,,,,
ELF,aelf,221,227227714.2838966,USD,116217,47144,3,18,4,0.03818089258442219,6380.56,USD
OSMO,Osmosis,222,228846741.98030618,USD,,,,,,,,
ENJ,Enjin Coin,223,228033450.10977054,USD,628961,147896,57,153,40,0.10345107372748419,858,USD
UXLINK,UXLINK,224,227216288,USD,,,,,,,,
ZKJ,Polyhedra Network,225,227301058.75531602,USD,,,,,,,,
MPLX,Metaplex,226,224045690.86878002,USD,,,,,,,,
IOTX,IoTeX,227,220012223.135271,USD,70655,21325,14,62,20,0.29073856975381007,10189.42,USD
GRIFFAIN,GRIFFAIN,228,216504258.9136,USD,,,,,,,,
CPOOL,Clearpool,229,221936118.82995072,USD,,,,,,,,
QUBIC,QUBIC,230,221981724.14304635,USD,,,,,,,,
ZEN,Horizen,231,220829021.153125,USD,,,,,,,,
ETHW,EthereumPoW,232,218171744.57753336,USD,,,,,,,,
DRIFT,Drift,233,213015975.2078592,USD,,,,,,,,
PEAQ,peaq,234,211633336.3368793,USD,,,,,,,,
YFI,yearn.finance,235,216160536.63708538,USD,239510,45093,42,227,27,0.5034040760206684,4349.55,USD
BIO,Bio Protocol,236,213420651.95243517,USD,,,,,,,,
VANA,Vana,237,210196908,USD,,,,,,,,
MEME,Memecoin,238,201942348.32654303,USD,,,,,,,,
PNUT,Peanut the Squirrel,239,195331427.3633751,USD,,,,,,,,
GOMINING,Gomining,240,196981730.35895747,USD,,,,,,,,
ARKM,Arkham,241,197907920,USD,,,,,,,,
GMT,GMT,242,195395987.67812687,USD,,,,,,,,
AVAIL,Avail,243,196150549.392005,USD,,,,,,,,
XCH,Chia,244,191148085.755,USD,,,,,,,,
G,Gravity,245,192742132.76000002,USD,,,,,,,,
PAAL,PAAL AI,246,203521987.0161611,USD,,,,,,,,
SPELL,Spell Token,247,182124587.68936595,USD,112824,32936,74,306,75,0.929074568860821,12935.74,USD
XEM,NEM,248,187271999.979192,USD,,,,554,,,,
LRC,Loopring,249,186585398.62773168,USD,385818,163041,77,271,76,0.1662158598144025,1090.17,USD
KDA,Kadena,250,186480578.5136731,USD,,,,,,,,
GMX,GMX,251,187870283.89375618,USD,534552,289439,338,1211,129,0.4183955859438431,641.18,USD
LUNA,Terra,252,186030122.68499562,USD,,,,,,,,
SUN,Sun (New),253,185539256.10924736,USD,,,,,,,,
ANIME,Animecoin,254,185853417.83673602,USD,,,,,,,,
TAI,TARS AI,255,181311440.16535,USD,,,,,,,,
DCR,Decred,256,183642700.26918364,USD,,523548,,28301,,,,
USUAL,Usual,257,181234138.69462988,USD,,,,,,,,
ONT,Ontology,258,179007430.69341,USD,456418,143494,128,239,41,0.16655748672418358,1662.9,USD
DAG,Constellation,259,179558911.943502,USD,13178,3343,1,8,1,0.23930601256356565,64237.79,USD
ETHDYDX,dYdX (ethDYDX),260,178393894.18923098,USD,192158,51060,99,338,78,0.6619663141402271,15700.8,USD
BICO,Biconomy,261,175462697.43610075,USD,,,,,,,,
CSPR,Casper,262,177997393.731647,USD,,,,,,,,
MANTA,Manta Network,263,176700875.01378712,USD,,,,,,,,
POLYX,Polymesh,264,175201407.99702635,USD,,,,,,,,
NEIRO,First Neiro On Ethereum,265,171681235.59452122,USD,,,,,,,,
HONEY,Hivemapper,266,168861591.37201282,USD,,,,,,,,
HIVE,Hive,267,173184125.67252824,USD,,,,,,,,
ME,Magic Eden,268,168737048.64750814,USD,,,,,,,,
FXS,Frax Share,269,168860723.88925594,USD,67085,15870,38,205,22,1.29174543163201,12361.72,USD
AEVO,Aevo,270,169239626.56129417,USD,,,,,,,,
METIS,Metis,271,170549887.082762,USD,81802,17256,53,169,34,0.9793694946685212,11527.37,USD
LCX,LCX,272,173143618.1244,USD,104936,33367,112,411,121,1.2317559265142206,6214.54,USD
FLUX,Flux,273,167963243.4739077,USD,,,,,,,,
BOME,BOOK OF MEME,274,165680765.94733804,USD,,,,,,,,
BAND,Band Protocol,275,162446028.50442123,USD,130360,33427,9,59,5,0.1765040236934215,3001.14,USD
FIDA,Solana Name Service,276,161548356.88522783,USD,,,,,,,,
DGB,DigiByte,277,159081453.36630762,USD,,1134789,,3977,,,,
ORBR,Orbler,278,155953501.33,USD,,,,,,,,
SSV,ssv.network,279,160946699.3895467,USD,,,,,,,,
SOLO,Sologenic,280,160115061.81766,USD,,,,,,,,
COW,CoW Protocol,281,155062314.06506723,USD,18208,5289,38,169,27,3.1953110228776707,85028.76,USD
ACX,Across Protocol,282,159229814.775771,USD,,,,,,,,
UPC,UPCX,283,155687006.81208,USD,,,,,,,,
WAVES,Waves,284,155740534.5928,USD,,,,,,,,
ANON,Hey Anon,285,158445239.87320808,USD,,,,,,,,
DYM,Dymension,286,154326722.20749003,USD,,,,,,,,
CHEEMS,Cheems (cheems.pet),287,154214666.10276484,USD,,,,,,,,
UMA,UMA,288,153520709.63552022,USD,95050,20617,20,116,16,0.5626424795072028,10459.34,USD
COTI,COTI,289,151923282.74098018,USD,,,,,,,,
SXP,Solar,290,152313950.87222502,USD,97287,22887,1,11,3,0.04806221872678813,2999.68,USD
VINE,Vine Coin,291,146159138.24064,USD,,,,,,,,
ZIG,ZIGChain,292,148992443.466867,USD,,,,,,,,
GOAT,Goatseus Maximus,293,146209406.8163987,USD,,,,,,,,
VELO,Velo,294,144624216.918555,USD,91705,,18,,10,0.5777616279069767,4433.57,USD
WAXP,WAX,295,144475076.45490128,USD,,,,,,,,
ALT,AltLayer,296,144367365.31525564,USD,,,,,,,,
SKI,Ski Mask Dog,297,141948794.33308998,USD,,,,,,,,
STORJ,Storj,298,142547767.9010879,USD,458275,94295,33,151,34,0.1601357442070099,1830.97,USD
ICX,ICON,299,141595832.05535895,USD,,,,,,,,
EDU,Open Campus,300,142489696.67605,USD,,,,,,,,
CGPT,ChainGPT,301,138668242.4402,USD,,,,,,,,
RPL,Rocket Pool,302,140467802.84361574,USD,32297,7263,3,12,0,0.16522098306484925,16009.71,USD
ALEO,Aleo,303,140136001.2813945,USD,,,,,,,,
KUB,Bitkub Coin,304,141743164.68,USD,,,,,,,,
SWFTC,SwftCoin,305,145709909.96361798,USD,56848,29428,296,1518,719,5.158352589370668,12391.59,USD
VVS,VVS Finance,306,137576549.25225237,USD,,,,,,,,
AUDIO,Audius,307,136656541.140633,USD,110012,37161,55,174,44,0.46823282473560995,3589.4,USD
XNO,Nano,308,136872650.67839998,USD,,,,,,,,
ELON,Dogelon Mars,309,134769362.71542823,USD,348995,160696,138,676,163,0.42067008512968584,1470.72,USD
SNT,Status,310,135174326.14596155,USD,312976,68672,12,61,14,0.08882805219012116,3160.57,USD
ORCA,Orca,311,134818195.814,USD,,,,,,,,
GLMR,Moonbeam,312,133593524.25548999,USD,,,,,,,,
VVV,Venice Token,313,130891450.69318835,USD,,,,,,,,
ILV,Illuvium,314,132360226.47646257,USD,172146,50168,92,406,71,0.8092808164567055,3948.95,USD
0X0,0x0.ai,315,134592592.9868,USD,,,,,,,,
PHA,Phala Network,316,128497122.45179181,USD,74375,,58,,49,0.9589870117778503,7798.19,USD
TAIKO,Taiko,317,131313131.07957642,USD,,,,,,,,
POWR,Powerledger,318,127881078.60142127,USD,217069,53822,21,98,14,0.1820816766378061,4147.3,USD
HMSTR,Hamster Kombat,319,127411000,USD,,,,,,,,
LSK,Lisk,320,126148689.725477,USD,,,,,,,,
DESO,Decentralized Social,321,124090314.312,USD,,,,,,,,
XAI,Xai,322,124587342.05908298,USD,,,,,,,,
BAL,Balancer,323,127953866.65085049,USD,141291,45420,29,188,28,0.4139145750770586,2839.7,USD
ZENT,Zentry,324,125111353.2685893,USD,,,,,,,,
POND,Marlin,325,124108871.743042,USD,,,,,,,,
NPC,Non-Playable Coin,326,123876714.89692147,USD,,,,,,,,
WMTX,World Mobile Token,327,124602430.19170001,USD,,,,,,,,
XPR,XPR Network,328,119479466.51808299,USD,,,,,,,,
XVG,Verge,329,120359110.36212857,USD,,207352,,247,,,,
STPT,STP,330,118745979.16229369,USD,36015,15900,12,59,8,0.3710691823899371,0,USD
HT,Huobi Token,331,124957373.66411999,USD,227795,52407,15,32,9,0.061060545346995634,1473.92,USD
ACS,Access Protocol,332,117961606.44453457,USD,,,,,,,,
UFD,Unicorn Fart Dust,333,122136000,USD,,,,,,,,
WILD,Wilder World,334,121067781.32291684,USD,,,,,,,,
CVC,Civic,335,119880000,USD,298400,58046,24,99,18,0.1705543878992523,1834,USD
IQ,IQ,336,119088242.08186238,USD,,,,,,,,
BIGTIME,Big Time,337,117287905.66672894,USD,,,,,,,,
STRAX,Stratis [New],338,118166513.40508164,USD,,,,,,,,
BORA,BORA,339,112696881.25,USD,,,,,,,,
PEPECOIN,PepeCoin,340,117593523.57974653,USD,,,,,,,,
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),341,115646652.58884999,USD,,,,,,,,
LQTY,Liquity,342,114008142.42568259,USD,46056,12544,46,159,29,1.2675382653061225,9215,USD
BLAST,Blast,343,112947156.32675809,USD,,,,,,,,
SCR,Scroll,344,115026000.00000001,USD,,,,,,,,
AGI,Delysium,345,112913923.28747144,USD,,,,,,,,
IOST,IOST,346,111434820,USD,,,,,,,,
CETUS,Cetus Protocol,347,111764267.31932074,USD,,,,,,,,
PEOPLE,ConstitutionDAO,348,110275572.9351171,USD,,,,,,,,
CHR,Chromia,349,111093445.22436695,USD,42052,13,16,83,10,638.4615384615385,0,USD
ONG,Ontology Gas,350,108187389.38660313,USD,722843,203720,47,349,49,0.17131356764186137,1232.32,USD
MVL,MVL,351,107946337.70745619,USD,34271,11643,15,57,7,0.489564545220304,11580.07,USD
YGG,Yield Guild Games,352,108279869.91692209,USD,68377,20753,25,124,17,0.5975039753288681,11555.09,USD
KEEP,Keep Network,353,108516610.41443175,USD,46150,10743,6,12,2,0.1117006422786931,10036.06,USD
RLC,iExec RLC,354,108038191.24220312,USD,120134,23439,164,304,46,1.2969836597124451,6018.36,USD
SYRUP,Maple Finance,355,107787013.77119981,USD,,,,,,,,
DOGS,DOGS,356,106207627.5,USD,,,,,,,,
EURC,EURC,357,105229960.45360906,USD,,,,,,,,
BTG,Bitcoin Gold,358,88468082.22511572,USD,,18613609,,1406,,,,
AL,ArchLoot,359,105326185.19019659,USD,,,,,,,,
CFG,Centrifuge,360,103371052.22125001,USD,,,,,,,,
XRD,Radix,361,105304180.93627125,USD,,,,,,,,
PIXEL,Pixels,362,101918805.09899193,USD,,,,,,,,
CELR,Celer Network,363,101405845.68551907,USD,77851,19996,27,132,23,0.6601320264052811,6404.35,USD
