Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Cantidad de transacciones,Volumen de transacciones,Volumen de transacciones en USD,Volumen de transacciones en USD - Divisa,Media de transacciones en USD,Media de transacciones en USD - Divisa,Grandes transacciones,Volumen de transacciones grandes en USD,Volumen de transacciones grandes en USD - Divisa
GRT,The Graph,67,1428364828.4560633,USD,1477,88318334.93055953,12730141.207650436,USD,8618.917540724737,USD,19,4389628.8597569,USD
WLD,Worldcoin,68,1421073582.599253,USD,,,,,,,,,
S,Sonic (prev. FTM),69,1360080000,USD,,,,,,,,,
JASMY,JasmyCoin,70,1328784921.3242552,USD,,,,,,,,,
FLR,FLARE,71,1308942827.9230917,USD,,,,,,,,,
QNT,Quant,72,1160673031.32,USD,1481,160204.9868901381,15467791.484242836,USD,10444.153601784494,USD,10,9477929.560893973,USD
SEI,Sei,73,1140163374.77136,USD,,,,,,,,,
SAND,The Sandbox,74,1065562115.6104527,USD,1217,59117258.29440661,24166876.515691824,USD,19857.74569900725,USD,40,13447819.998740433,USD
ENS,Ethereum Name Service,75,1053555682.2293496,USD,1212,1365360.3077148166,38395429.64811069,USD,31679.397399431262,USD,66,20546633.291440457,USD
FLOKI,FLOKI,76,1032771346.1203369,USD,,94294257454.57487,,,10356.777112516911,USD,10,1914890.7480797565,USD
VIRTUAL,Virtuals Protocol,77,1024031773.2680788,USD,,,,,,,,,
EOS,EOS,78,1000568445.5330895,USD,1319328,,14845508.599856813,USD,,,,,
XTZ,Tezos,79,969607409.2780885,USD,,,,,,,,,
XCN,Onyxcoin,80,933099851.6391749,USD,,,,,,,,,
NEXO,Nexo,81,915847113.0131582,USD,362,1342535.5334384898,1792956.2049071032,USD,4952.917693113545,USD,0,0,USD
GALA,Gala,82,904951869.0552951,USD,69,6367491.1422532415,151648.70005920253,USD,2197.807247234819,USD,0,0,USD
BTT,BitTorrent-New,83,913270109.2912962,USD,,,,,,,,,
KAIA,Kaia,84,916486843.912225,USD,,,,,,,,,
JTO,Jito,85,903290730.9281598,USD,,,,,,,,,
IOTA,IOTA,86,893239576.63776,USD,,,,,,,,,
WIF,dogwifhat,87,873307162.0362109,USD,,,,,,,,,
FARTCOIN,Fartcoin,88,851088515.69904,USD,,,,,,,,,
MKR,Maker,89,880510355.49384,USD,902,21218.54600245563,22060922.278753117,USD,24457.78523143361,USD,45,12887766.020037746,USD
PENGU,Pudgy Penguins,90,845220885.8266778,USD,,,,,,,,,
SPX,SPX6900,91,843098032.4364914,USD,,,,,,,,,
BSV,Bitcoin SV,92,860118212.875,USD,,,,,,,,,
FLOW,Flow,93,838358198.4266297,USD,,,,,,,,,
NEO,Neo,94,828972341.9120001,USD,5635,,136973.84510883148,USD,,,,,
PYTH,Pyth Network,95,823234788.5237082,USD,,,,,,,,,
AR,Arweave,96,794920058.3280001,USD,,,,,,,,,
AERO,Aerodrome Finance,97,769394440.1983502,USD,,,,,,,,,
USDD,USDD,98,741232417.664195,USD,,0,,,0,USD,0,0,USD
CRV,Curve DAO Token,99,754027223.78205,USD,2865,79361314.54639755,44045626.444133736,USD,15373.691603537081,USD,84,18498167.23992709,USD
MELANIA,Official Melania Meme,100,728304914.8557585,USD,,,,,,,,,
RON,Ronin,101,723261351.4804434,USD,,,,,,,,,
DEEP,DeepBook Protocol,102,706885360,USD,,,,,,,,,
AXS,Axie Infinity,103,706497147.4588159,USD,651,1908801.368633507,8244938.243266978,USD,12665.035703943131,USD,16,2749622.919918475,USD
STRK,Starknet,104,713350180.0540721,USD,,,,,,,,,
AIOZ,AIOZ Network,105,681344058.2371408,USD,,,,,,,,,
XAUT,Tether Gold,106,692720113.8,USD,216,327.2831690000001,915404.6246644201,USD,4237.984373446389,USD,1,161240.78757320065,USD
MANA,Decentraland,107,687907941.1091598,USD,831,17142894.009267017,6076955.864693767,USD,7312.8229418697565,USD,7,1255982.4764247385,USD
EGLD,MultiversX,108,687341915.2906938,USD,,,,,,,,,
HNT,Helium,109,655490751.2089194,USD,,,,,,,,,
MATIC,Polygon,110,661480204.28952,USD,1228,58030939.91874323,20441398.586377304,USD,16646.090054053177,USD,21,18682096.41786726,USD
FTT,FTX Token,111,637596048.2522831,USD,137,150555.2687782302,292679.4425048795,USD,2136.346295656055,USD,0,0,USD
BRETT,Brett (Based),112,633214554.458525,USD,,,,,,,,,
BEAM,Beam,113,631136747.179512,USD,,,,,,,,,
CFX,Conflux,114,594163698.8137509,USD,,,,,,,,,
CHZ,Chiliz,115,589377613.98862,USD,450,79399670.18935785,4863626.797449116,USD,10808.059549886922,USD,5,1388822.9259461544,USD
ZEC,Zcash,116,581661917.68125,USD,1266,,8223065.621428789,USD,,,,,
W,Wormhole,117,581699637.3934,USD,,,,,,,,,
PAXG,PAX Gold,118,572817169.9115599,USD,1409,14760.004804997172,41667236.32640103,USD,29572.20463193828,USD,88,25727957.948825262,USD
APE,ApeCoin,119,575748302.9144,USD,1536,17965151.51271891,13464180.987943657,USD,8765.742830692485,USD,32,7020697.54945805,USD
AKT,Akash Network,120,577413444.0639496,USD,,,,,,,,,
KAVA,Kava,121,561871185.97056,USD,,,,,,,,,
XEC,eCash,122,550069272.9969738,USD,,,,,,,,,
RSR,Reserve Rights,123,534094534.54538697,USD,,,,,,,,,
MORPHO,Morpho,124,530028244.7681014,USD,,,,,,,,,
CORE,Core,125,528334794.8077465,USD,,,,,,,,,
RUNE,THORChain,126,511681147.262,USD,,,,,,,,,
COMP,Compound,127,514379172.25170904,USD,397,159501.2173511049,8876029.455823053,USD,22357.756815675195,USD,25,7826273.090681707,USD
PENDLE,Pendle,128,524712253.696593,USD,1411,4150227.9393349085,11099526.770636525,USD,7866.425776496473,USD,12,2832238.3300156826,USD
AI16Z,ai16z,129,497595645.7641561,USD,,,,,,,,,
AMP,Amp,130,499720607.77842146,USD,437,,3269685.5697506964,USD,,,,,
EIGEN,EigenLayer,131,529804357.546324,USD,,,,,,,,,
TUSD,TrueUSD,132,494113772.48511,USD,79,643256.971852832,642539.5484822998,USD,8133.412006105061,USD,0,0,USD
GIGA,Gigachad,133,496683677.935984,USD,,,,,,,,,
GNO,Gnosis,134,484288180.51375777,USD,231,10208.397987941265,1988493.8440710793,USD,8608.198459182162,USD,0,0,USD
PYUSD,PayPal USD,135,477489154.71980274,USD,,49074154.52905201,,,34825.25784313755,USD,50,46497552.340608425,USD
ZK,zkSync,136,453090750,USD,,,,,,,,,
MINA,Mina,137,459589645.6774421,USD,,,,,,,,,
VTHO,VeThor Token,138,447501084.6978672,USD,,,,,,,,,
CAKE,PancakeSwap,139,449555209.23905045,USD,,,,,,,,,
NFT,APENFT,140,443985560.09999996,USD,,,,,,,,,
SNX,Synthetix,141,432615746.9325641,USD,507,7740636.471568075,9733461.695805052,USD,19198.149301390637,USD,12,7024664.556624257,USD
TOSHI,Toshi,142,422261950.25399995,USD,,,,,,,,,
SUPER,SuperVerse,143,400941719.1150194,USD,,,,,,,,,
AXL,Axelar,144,410293256.6150453,USD,,,,,,,,,
MOG,MOG Coin,145,422824498.44133604,USD,,,,,,,,,
1INCH,1inch Network,146,389174769.01268065,USD,983,124145757.43669872,32999276.652233247,USD,33569.96607551703,USD,12,26497852.09351021,USD
LUNC,Terra Classic,147,372433182.5286551,USD,,,,,,,,,
ACH,Alchemy Pay,148,360312741.42969257,USD,,,,,,,,,
CTC,Creditcoin,149,368019939.65788996,USD,,,,,,,,,
GRASS,GRASS,150,357418520.3514,USD,,,,,,,,,
TFUEL,Theta Fuel,151,363033270.860625,USD,,,,,,,,,
TWT,Trust Wallet Token,152,363131220.345,USD,,,,,,,,,
ROSE,Oasis,153,346848914.6371,USD,,,,,,,,,
KSM,Kusama,154,345713525.73310614,USD,,,,,,,,,
SAFE,Safe,155,346303373.83739996,USD,,,,,,,,,
LPT,Livepeer,156,345254841.88106674,USD,404,417251.5803276518,3793065.7006978346,USD,9388.776486875828,USD,15,2281485.088278425,USD
MX,MX TOKEN,157,334058842.4454,USD,,,,,,,,,
JST,JUST,158,335303100.00000006,USD,,,,,,,,,
ZRO,LayerZero,159,332750000,USD,,,,,,,,,
QTUM,Qtum,160,329797175.2188,USD,,,,,,,,,
AIXBT,aixbt by Virtuals,161,319097696.1620252,USD,,,,,,,,,
BLUR,Blur,162,327216305.8336449,USD,,41193994.01323648,,,15623.83481217655,USD,9,2525502.0253347685,USD
DASH,Dash,163,326606489.5112272,USD,12519,,67502449.43123709,USD,,,,,
CKB,Nervos Network,164,323447385.3632948,USD,,,,,,,,,
NOT,Notcoin,165,319696444.57949823,USD,,,,,,,,,
SFP,SafePal,166,320136375,USD,,,,,,,,,
ASTR,Astar,167,314310769.14048797,USD,,,,,,,,,
MEW,cat in a dogs world,168,311813333.3302152,USD,,,,,,,,,
HOT,Holo,169,307575554.22254395,USD,,,,,,,,,
PRIME,Echelon Prime,170,309468766.3387,USD,,,,,,,,,
TURBO,Turbo,171,300646800,USD,,1693490114.5791254,,,5497.95820839792,USD,10,1976513.5301844291,USD
ZIL,Zilliqa,172,303576197.76018286,USD,,,,,,,,,
ORDI,ORDI,173,289758000,USD,,,,,,,,,
ZRX,0x Protocol,174,290864277.62372535,USD,442,9817793.671624618,3444572.909689497,USD,7793.151379388002,USD,3,865806.9873515504,USD
BAT,Basic Attention Token,175,287121534.7841917,USD,352,8631796.589981403,1690537.362147858,USD,4802.662960647323,USD,3,413612.1073871743,USD
WEMIX,WEMIX,176,283158692.8233414,USD,,,,,,,,,
TRAC,OriginTrail,177,283682181.64739674,USD,414,3584787.357405192,1838995.9143488638,USD,4442.019116784695,USD,3,308794.62864465156,USD
BABYDOGE,Baby Doge Coin,178,277917927.65399176,USD,,,,,,,,,
GLM,Golem,179,272830000,USD,212,6988658.3946824325,1872610.5043228148,USD,8833.06841661705,USD,4,1116466.2773561117,USD
MOCA,Moca Network,180,269571427.6684457,USD,,,,,,,,,
SATS,SATS (Ordinals),181,268065000.00000003,USD,,,,,,,,,
GAS,Gas,182,263862364.6269,USD,196,,193018.7696412352,USD,,,,,
ATH,Aethir,183,264397263.16777802,USD,,,,,,,,,
ETHFI,ether.fi,184,292394664.388,USD,,,,,,,,,
POPCAT,Popcat (SOL),185,251127928.28559598,USD,,,,,,,,,
CELO,Celo,186,256559904.58187997,USD,,,,,,,,,
SKL,SKALE,187,260797075.65366298,USD,330,116525097.41898341,5079458.049097085,USD,15392.297118476015,USD,9,1861106.7823497057,USD
SUSHI,SushiSwap,188,254902770.64861158,USD,636,4137868.3899383047,3940352.229761588,USD,6195.522373838975,USD,1,351179.6606263862,USD
SC,Siacoin,189,252393365.27159458,USD,,,,,,,,,
ID,SPACE ID,190,252092314.01677272,USD,,,,,,,,,
XYO,XYO,191,246988354.951284,USD,758,159766360.9769679,2798307.8125115926,USD,3691.698961097088,USD,1,148457.13999999998,USD
MASK,Mask Network,192,249480000,USD,,3817486.610928755,,,14964.05134338676,USD,8,1778687.0681123561,USD
ANKR,Ankr,193,245860000,USD,278,123524935.90363789,2891378.392691527,USD,10400.641700329234,USD,4,905524.6865051787,USD
CVX,Convex Finance,194,245736353.2098293,USD,779,3810200.083098282,9005725.315684283,USD,11560.622998311019,USD,10,3360669.508246317,USD
T,Threshold,195,241765103.4620191,USD,,,,,,,,,
WOO,WOO,196,239596500.52571386,USD,268,9166666.17716631,1148116.910980911,USD,4284.018324555637,USD,2,250498.24849972408,USD
ZETA,ZetaChain,197,236970464.17815,USD,,,,,,,,,
IO,io.net,198,236468242.97739998,USD,,,,,,,,,
RVN,Ravencoin,199,234316514.62321973,USD,,,,,,,,,
STETH,Lido Staked ETH,200,27226455029.214928,USD,2146,153665.49513360957,440362282.71428764,USD,205201.43649314428,USD,318,421624920.8548684,USD
WBTC,Wrapped Bitcoin,201,13154086599.731176,USD,14599,30036.12006077,2928556705.9152336,USD,200599.81546100648,USD,2435,2700681818.8568625,USD
WBETH,Wrapped Beacon ETH,202,6164306161.502934,USD,,,,,,,,,
WEETH,Wrapped eETH,203,5943534949.338508,USD,,,,,,,,,
BIT,BitDAO,204,2189542301.0059624,USD,57,,93605.16215607162,USD,,,,,
FTN,Fasttoken,205,1708443711.0593,USD,,,,,,,,,
MSOL,Marinade Staked SOL,206,1138373121.6000001,USD,,,,,,,,,
ZBU,ZEEBU,207,1015321075.774472,USD,,,,,,,,,
TEL,Telcoin,208,663008020.8470082,USD,0,0,276.46628892,USD,0,USD,0,0,USD
FRAX,Frax,209,647192892.8042616,USD,498,22221280.114520352,22141252.935094353,USD,44460.34725922561,USD,30,16681074.88344799,USD
KLAY,Klaytn,210,587972667.66736,USD,,,,,,,,,
BDX,Beldex,211,534891956.11464554,USD,,,,,,,,,
CHEEL,Cheelee,212,452613291.2500286,USD,,,,,,,,,
SNEK,Snek,213,411683332.7425287,USD,,,,,,,,,
DOG,Dog (Bitcoin),214,363010000,USD,,,,,,,,,
TRIBE,Tribe,215,310782329.13257164,USD,21,40969.41118292233,21755.87388523943,USD,1035.993994535211,USD,0,0,USD
ARC,AI Rig Complex,216,301449493.26255,USD,,,,,,,,,
BORG,Swissborg,217,301725484.57000566,USD,,,,,,,,,
OCEAN,Ocean Protocol,218,239028970.66613376,USD,124,688023.7674256276,248934.57268947412,USD,2007.5368765280173,USD,0,0,USD
ONE,Harmony,219,234599996.58658105,USD,,,,,,,,,
ACT,Act I : The AI Prophecy,220,229949663.7878171,USD,,,,,,,,,
ELF,aelf,221,227227714.2838966,USD,12,143473.30423388525,45925.80468526667,USD,3827.1503904388887,USD,0,0,USD
OSMO,Osmosis,222,229066398.57384086,USD,,,,,,,,,
ENJ,Enjin Coin,223,228087542.01696825,USD,161,1756084.5450114857,229871.4669420035,USD,1427.7730865962951,USD,0,0,USD
UXLINK,UXLINK,224,227216288,USD,,,,,,,,,
ZKJ,Polyhedra Network,225,227559815.652533,USD,,,,,,,,,
MPLX,Metaplex,226,223788714.39914,USD,,,,,,,,,
IOTX,IoTeX,227,220012223.135271,USD,81,3584481.251407779,83851.303338294,USD,1035.2012757814075,USD,0,0,USD
GRIFFAIN,GRIFFAIN,228,216504258.9136,USD,,,,,,,,,
CPOOL,Clearpool,229,221936118.82995072,USD,,,,,,,,,
QUBIC,QUBIC,230,221790767.29098523,USD,,,,,,,,,
ZEN,Horizen,231,221320210.05,USD,,,,,,,,,
ETHW,EthereumPoW,232,218355036.87591824,USD,,,,,,,,,
DRIFT,Drift,233,213148315.80414942,USD,,,,,,,,,
PEAQ,peaq,234,211829355.71579245,USD,,,,,,,,,
YFI,yearn.finance,235,216224542.58091766,USD,321,458.9009434787446,2733096.799087305,USD,8514.320246377898,USD,1,505545.14645234344,USD
BIO,Bio Protocol,236,213237705.03060478,USD,,,,,,,,,
VANA,Vana,237,210214958.39999998,USD,,,,,,,,,
MEME,Memecoin,238,201961338.57934788,USD,,,,,,,,,
PNUT,Peanut the Squirrel,239,195651380.5613495,USD,,,,,,,,,
GOMINING,Gomining,240,196981730.35895747,USD,,,,,,,,,
ARKM,Arkham,241,198018219,USD,,,,,,,,,
GMT,GMT,242,195274818.40605265,USD,,,,,,,,,
AVAIL,Avail,243,196228961.78020498,USD,,,,,,,,,
XCH,Chia,244,191231830.80900002,USD,,,,,,,,,
G,Gravity,245,192742132.76000002,USD,,,,,,,,,
PAAL,PAAL AI,246,203521987.0161611,USD,,,,,,,,,
SPELL,Spell Token,247,181800958.66907743,USD,577,11210179024.599966,12638325.719176743,USD,21903.510778469226,USD,28,6310380.519736417,USD
XEM,NEM,248,187289999.97919,USD,830,,463147.8406631877,USD,,,,,
LRC,Loopring,249,186585398.62773168,USD,406,15386051.24628443,2022425.686736739,USD,4981.34405600182,USD,1,209023.2545240939,USD
KDA,Kadena,250,186480578.5136731,USD,,,,,,,,,
GMX,GMX,251,187999705.42364964,USD,6823,1055672.2714737381,19282452.785240006,USD,2826.095967351606,USD,25,8106972.651275578,USD
LUNA,Terra,252,186030122.68499562,USD,,,,,,,,,
SUN,Sun (New),253,185539256.10924736,USD,,,,,,,,,
ANIME,Animecoin,254,185964189.929856,USD,,,,,,,,,
TAI,TARS AI,255,181256105.34975,USD,,,,,,,,,
DCR,Decred,256,183428509.67285874,USD,5032,,8294760.557156313,USD,,,,,
USUAL,Usual,257,181543842.60252577,USD,,,,,,,,,
ONT,Ontology,258,179381636.81478,USD,825,30795481,5892186.068105283,USD,7142.0437189154945,USD,2,880130.9488650073,USD
DAG,Constellation,259,179558911.943502,USD,4,324191.35198154004,17691.12207763264,USD,4422.78051940816,USD,0,0,USD
ETHDYDX,dYdX (ethDYDX),260,178393894.18923098,USD,377,3378578.525903995,2843498.0465728515,USD,7542.435136798015,USD,3,693438.1177505166,USD
BICO,Biconomy,261,175971848.45219162,USD,,,,,,,,,
CSPR,Casper,262,177997393.731647,USD,,,,,,,,,
MANTA,Manta Network,263,176700875.01378712,USD,,,,,,,,,
POLYX,Polymesh,264,175496903.96792734,USD,,,,,,,,,
NEIRO,First Neiro On Ethereum,265,171681235.59452122,USD,,,,,,,,,
HONEY,Hivemapper,266,168861591.37201282,USD,,,,,,,,,
HIVE,Hive,267,173184125.67252824,USD,,,,,,,,,
ME,Magic Eden,268,168793736.4956058,USD,,,,,,,,,
FXS,Frax Share,269,169035700.02923757,USD,391,2453940.992477718,5007006.01826526,USD,12805.641990448237,USD,8,1793798.9932919897,USD
AEVO,Aevo,270,169456195.53156725,USD,,,,,,,,,
METIS,Metis,271,170438299.06460598,USD,256,107899.56938504642,2916795.226716533,USD,11393.731354361456,USD,2,1761694.8652820732,USD
LCX,LCX,272,173606568.975,USD,613,15027665.682438891,2892814.1140411934,USD,4719.109484569646,USD,0,0,USD
FLUX,Flux,273,168114893.01770738,USD,,,,,,,,,
BOME,BOOK OF MEME,274,165963474.09632427,USD,,,,,,,,,
BAND,Band Protocol,275,162469514.90359196,USD,110,798269.2377266481,820820.343692426,USD,7462.0031244766,USD,1,100037.01111181665,USD
FIDA,Solana Name Service,276,162023994.56727964,USD,,,,,,,,,
DGB,DigiByte,277,159274098.93101612,USD,2618,,1043196.7025403056,USD,,,,,
ORBR,Orbler,278,156004280.6675,USD,,,,,,,,,
SSV,ssv.network,279,160946699.3895467,USD,,,,,,,,,
SOLO,Sologenic,280,160115061.81766,USD,,,,,,,,,
COW,CoW Protocol,281,155062314.06506723,USD,435,16840890.526430015,7839981.650950149,USD,18022.94632402333,USD,14,3154890.203418869,USD
ACX,Across Protocol,282,159277123.96094057,USD,,,,,,,,,
UPC,UPCX,283,155588178.83484,USD,,,,,,,,,
WAVES,Waves,284,155682090.98180002,USD,,,,,,,,,
ANON,Hey Anon,285,159854266.55153114,USD,,,,,,,,,
DYM,Dymension,286,154326722.20749003,USD,,,,,,,,,
CHEEMS,Cheems (cheems.pet),287,154289664.11667502,USD,,,,,,,,,
UMA,UMA,288,153672995.1405042,USD,203,1027797.3172069351,1862977.5229007527,USD,9177.229176850999,USD,1,268707.7287301214,USD
COTI,COTI,289,152210052.18601057,USD,,,,,,,,,
SXP,Solar,290,152459391.18733528,USD,7,46308.0698735759,11493.662942621537,USD,1641.951848945934,USD,0,0,USD
VINE,Vine Coin,291,145949139.4788,USD,,,,,,,,,
ZIG,ZIGChain,292,148992443.466867,USD,,,,,,,,,
GOAT,Goatseus Maximus,293,146149407.05982265,USD,,,,,,,,,
VELO,Velo,294,144602045.49177,USD,,202877.4986416794,,,8.301159605380505,USD,0,0,USD
WAXP,WAX,295,144639405.01622567,USD,,,,,,,,,
ALT,AltLayer,296,144367365.31525564,USD,,,,,,,,,
SKI,Ski Mask Dog,297,142037840.06732,USD,,,,,,,,,
STORJ,Storj,298,142655952.90596,USD,195,4216831.153171768,1524806.1449869117,USD,7819.518692240573,USD,1,412007.1680122905,USD
ICX,ICON,299,141815668.84917548,USD,,,,,,,,,
EDU,Open Campus,300,142489696.67605,USD,,,,,,,,,
CGPT,ChainGPT,301,138771637.17216,USD,,,,,,,,,
RPL,Rocket Pool,302,140686898.65620083,USD,5,367.6269975285436,2447.4293982649183,USD,489.48587965298367,USD,0,0,USD
ALEO,Aleo,303,139818872.58130762,USD,,,,,,,,,
KUB,Bitkub Coin,304,141743164.68,USD,,,,,,,,,
SWFTC,SwftCoin,305,145814039.96359202,USD,3050,863001919.4709349,34524391.78843475,USD,11319.47271751959,USD,64,18234960.997731287,USD
VVS,VVS Finance,306,137576549.25225237,USD,,,,,,,,,
AUDIO,Audius,307,136656541.140633,USD,423,75905033.36179729,7998318.860592588,USD,18908.555225987206,USD,20,4804792.918030151,USD
XNO,Nano,308,136872650.67839998,USD,,,,,,,,,
ELON,Dogelon Mars,309,134846314.10325056,USD,1564,32025806896174.293,7562297.7752202535,USD,4835.22875653469,USD,2,1407505.028382443,USD
SNT,Status,310,135174326.14596155,USD,74,26640995.421826005,966934.9288351747,USD,13066.68822750236,USD,2,643972.9289326033,USD
ORCA,Orca,311,134999331.45999998,USD,,,,,,,,,
GLMR,Moonbeam,312,133593524.25548999,USD,,,,,,,,,
VVV,Venice Token,313,131229367.50347637,USD,,,,,,,,,
ILV,Illuvium,314,132550056.33741473,USD,654,274465.05450281437,6402403.986566632,USD,9789.608542150812,USD,14,2946696.3827372342,USD
0X0,0x0.ai,315,134592592.9868,USD,,,,,,,,,
PHA,Phala Network,316,128574914.63150595,USD,,6412274.046974119,,,4037.1687733555113,USD,2,397062.6712844313,USD
TAIKO,Taiko,317,131552733.70740677,USD,,,,,,,,,
